#,Spacecraft,Spacewalkers,Start (UTC),End (UTC),Duration
170,Mir PE-26 - EVA 1,"  Gennady Padalka
  Sergei Avdeyev","15 September 1998
20:00","15 September 1998
20:30",0 h 30 min
,,Padalka and Avdeyev conducted an internal spacewalk in the depressurized Spektr to connect electrical and control cables to the solar array servo motor.[138],,,
171,Mir PE-26 - EVA 2,"  Gennady Padalka
  Sergei Avdeyev","10 November 1998
19:23","11 November 1998
01:18",5 h 54 min
,,"As soon as the spacewalk started, Padalka and Avdeyev deployed a mini-satellite, Spoutnik-41. The spacewalkers had a long list of experiment retrievals and deployments, which included a French ""meteorite trap"" intended to catch some dust from the upcoming Leonids meteor shower.[139]",,,
172,STS-88 - EVA 1,"  Jerry Ross
  James Newman","7 December 1998
22:10","8 December 1998
05:31",7 h 21 min
,,"Ross and Newman connected computer and electrical cables between the Unity node, the two mating adapters attached to either end of Unity, and the ZaryaFunctional Cargo Block (FGB).[140]",,,
173,STS-88 - EVA 2,"  Jerry Ross
  James Newman","9 December 1998
20:33","10 December 1998
03:35",7 h 02 min
,,Ross and Newman installed two box-like antennas on the outside of the Unity module that were part of the station's S-band early communications system.[141],,,
174,STS-88 - EVA 3,"  Jerry Ross
  James Newman","12 December 1998
20:33","13 December 1998
03:32",6 h 59 min
,,"Ross and Newman checked on an insulation cover on a cable connection on the lower Pressurized Mating Adapter (PMA 2) to ensure its proper installation, attached EVA tools on the side of Unity's upper mating adapter (PMA 1) in preparation for future EVAs, and inspected Orbiter Space Vision System targets onUnity.[142]",,,
175,Mir PE-27 - EVA 1,"  Viktor Afanasyev
  Jean-Pierre Haigneré","16 April 1999
04:37","16 April 1999
10:56",6 h 19 min
,,Afanasyev and Haigneré recovered experiments from the exterior of Mir and installed other experiments on the station's outer surface.[143],,,
176,STS-96 - EVA 1,"  Tamara E. Jernigan
  Daniel Barry","30 May 1999
02:56","30 May 1999
10:51",7 h 55 min
,,"Jernigan and Barry transferred and installed two cranes from Discovery's payload bay to locations on the outside of the station. They also installed two new portable foot restraints that fit both American and Russian spacesuit boots, and attached three bags filled with tools and handrails that were used during future assembly operations.[144]",,,
177,Mir PE-27 - EVA 2,"  Viktor Afanasyev
  Sergei Avdeyev","23 July 1999
11:06","23 July 1999
17:13",6 h 07 min
,,"Afanasyev and Avdeyev installed a communications antenna on the Sofora girder, but were unable to command the antenna dish to open fully. They also spent time trying to find a leak in Kvant-2. Before returning inside Mir, the spacewalkers were able to retrieve the Exobiology and Dvikon experiments.[145]",,,
178,Mir PE-27 - EVA 3,"  Viktor Afanasyev
  Sergei Avdeyev","28 July 1999
09:37","28 July 1999
14:59",5 h 22 min
,,"Afanasyev and Avdeyev were successful in completing the deployment of the antenna mounted on the Sofora girder. After proving that the antenna could fully open, the antenna was disconnected and pushed into space. The spacewalking team also installed the experiments indicator and Sprut-4 on the exterior, traded out data cassettes on the Migmas ion spectrometer, and then recovered the Danko-M and the Ekran-D experiments for return to Earth.[146]",,,
179,STS-103 - EVA 1,"  Steven Smith
  John Grunsfeld","22 December 1999
18:54","23 December 1999
03:09",8 h 15 min
,,Smith and Grunsfeld replaced six of Hubble's gyroscopes and installed six Voltage/Temperature Improvement Kits during one of the longest spacewalks on record. A planned activity to grease the door hinges was deferred to the next day's spacewalk.[147],,,
180,STS-103 - EVA 2,"  Michael Foale
  Claude Nicollier","23 December 1999
19:06","24 December 1999
03:16",8 h 10 min
,,"Foale and Nicollier replaced the main computer on Hubble with a new, faster machine. They also swapped out one of Hubble's three Fine Guidance Sensors for a refurbished one that had been previously removed from Hubble and serviced on Earth.[148]",,,
181,STS-103 - EVA 3,"  Steven Smith
  John Grunsfeld","24 December 1999
19:17","25 December 1999
03:25",8 h 08 min
,,Smith and Grunsfeld replaced a radio transmitter that had failed on Hubble in the previous year. They also replaced a data tape recorder with a solid-state recorder and added some insulation to the outer surface of Hubble.[149],,,
182,"Mir PE-28
EVA 1","  Sergei Zalyotin
  Alexander Kaleri","May 12, 2000
10:44","May 12, 2000
15:36","4 h, 52 min"
,,Kaleri and Zalyotin tested a leak sealant and inspected a malfunctioning solar panel on Kvant-1. A final photographic record of the outer surfaces of Mir was made during a panoramic inspection.[7],,,
183,"STS-101
EVA 1","  James Voss
  Jeffrey Williams","May 22, 2000
01:48","May 22, 2000
08:32","6 h, 44 min"
,,"Voss and Williams inspected and secured a U.S.-built cargo crane known as the Orbital Replacement Unit Transfer Device, completed assembly of a Russian cargo crane called Strela, and replaced one of Unity's two early communication antennas.[8][9]",,,
184,"STS-106
EVA 1","  Edward Lu
  Yuri Malenchenko","September 11, 2000
04:47","September 11, 2000
11:01","6 h, 14 min"
,,"Lu and Malenchenko attached cabling that fully integrated the Zvezda module to the rest of the ISS, and constructed and attached a magnetometer that serves as a backup navigation system for the station.[10]",,,
185,"STS-92
EVA 1","  Leroy Chiao
  William McArthur","October 15, 2000
14:27","October 15, 2000
20:55","6 h, 28 min"
,,"Chiao and McArthur connected two sets of cables to provide power to heaters and conduits located on the Z1 truss, relocated two communication antenna assemblies, and installed a toolbox for use during future on-orbit construction.[11]",,,
186,"STS-92
EVA 2","  Michael Lopez-Alegria
  Peter Wisoff","October 16, 2000
14:15","October 16, 2000
21:22","7 h, 07 min"
,,"Lopez-Alegria and Wisoff installed the Pressurized Mating Adapter (PMA)-3 docking port, and prepared the Z1 truss for the installation of the solar arrays.[12]",,,
187,"STS-92
EVA 3","  Leroy Chiao
  William McArthur","October 17, 2000
14:30","October 17, 2000
21:18","6 h, 48 min"
,,"Chiao and McArthur installed two DC-to-DC converter units atop the station's Z1 truss. They also reconfigured cabling to new docking port PMA-3, and installed a tool storage box on the Z1 truss.[13]",,,
188,"STS-92
EVA 4","  Michael Lopez-Alegria
  Peter Wisoff","October 18, 2000
15:00","October 18, 2000
21:56","6 h, 56 min"
,,"Lopez-Alegria and Wisoff removed a grapple fixture on the Z1 truss, deployed a Z1 utility tray, Manual Berthing Mechanism latches for Z1 were cycled and opened, and demonstrated the SAFER pack's abilities.[14][15]",,,
189,"STS-97
EVA 1","  Joseph Tanner
  Carlos I. Noriega","December 3, 2000
18:35","December 4, 2000
02:08","7 h, 33 min"
,,Tanner and Noriega attached the P6 truss to the Z1 truss and prepared the solar arrays for deployment. They also prepared the radiator for the power system deployment.[16][17],,,
190,"STS-97
EVA 2","  Joseph Tanner
  Carlos Noriega","December 5, 2000
17:21","December 5, 2000
23:58","6 h, 37 min"
,,"Tanner and Noriega configured the station to use power from the P6 truss solar array and positioned the S-band antenna for use by the station. They also prepared the station for the arrival of the U.S. laboratory, Destiny.[18]",,,
191,"STS-97
EVA 3","  Joseph Tanner
  Carlos Noriega","December 7, 2000
16:13","December 7, 2000
21:23","5 h, 10 min"
,,"Tanner and Noriega positioned a floating potential probe to measure the plasma field surrounding the station, performed repair work to increase tension in the starboard solar array blankets that did not stretch out completely during deployment, and installed a centerline camera cable outside the Unity node.[19]",,,
192,"STS-98
EVA 1","  Thomas Jones
  Robert Curbeam","February 10, 2001
15:50","February 10, 2001
23:24","7 h, 34 min"
,,"Jones and Curbeam removed protective launch covers and disconnected power and cooling cables between Destiny and Atlantis, while crewmembers inside the shuttle moved the 3,800-cubic-foot (110 m3) laboratory from the payload bay to its home on the Unity node. Curbeam and Jones then connected electrical, data and cooling lines to the lab, during which a small amount of ammonia crystals leaked from one of the hoses, prompting a decontamination procedure.[20][21]",,,
193,"STS-98
EVA 2","  Thomas Jones
  Robert Curbeam","February 12, 2001
15:59","February 12, 2001
22:49","6 h, 50 min"
,,"Jones and Curbeam installed the shuttle docking adapter onto Destiny, installed insulating covers over the pins that held Destiny in place during launch, attached a vent to the lab's air system, installed handrails and sockets on the exterior of Destiny, and attached a base for Canadarm2.[22]",,,
194,"STS-98
EVA 3","  Thomas Jones
  Robert Curbeam","February 14, 2001
14:48","February 14, 2001
20:13","5 h, 25 min"
,,"Jones and Curbeam attached a spare communications antenna to the station's exterior, double-checked connections between the Destiny lab and its docking port, released the restraints on a station cooling radiator, inspected solar array connections at the top of the station, and tested a technique for a spacewalker to carry an incapacitated crew member to the shuttle airlock. This was the 100th U.S. spacewalk.[23]",,,
195,"STS-102
EVA 1","  James Voss
  Susan Helms","March 11, 2001
05:12","March 11, 2001
14:08","8 h, 56 min"
,,"Voss and Helms prepared Pressurized Mating Adapter-3 for repositioning from Unity’s Earth-facing berth to the port-side berth to make room for Leonardo, the Italian Space Agency-built Multi-Purpose Logistics Module. They also removed a Lab Cradle Assembly from Discovery's payload bay and installed it on the side of Destiny, and installed a cable tray to Destiny for later use by the station’s robot arm (Canadarm2). After re-entering the shuttle's airlock, Voss and Helms remained ready to assist if any troubles installing the docking port were encountered by the crew inside the shuttle. This was the longest space walk in shuttle history.[24]",,,
196,"STS-102
EVA 2","  Andy Thomas
  Paul W. Richards","March 13, 2001
05:23","March 13, 2001
11:44","6 h, 21 min"
,,"Thomas and Richards installed an External Stowage Platform for spare station parts, attached a spare ammonia coolant pump to the platform, and finished connecting several cables put in place on the first EVA for the station's robotic arm. They also inspected a Unity node heater connection, and inspected an exterior experiment, the Floating Potential Probe.[25]",,,
197,"STS-100
EVA 1","  Chris Hadfield
  Scott Parazynski","April 22, 2001
11:45","April 22, 2001
18:55","7 h, 10 min"
,,"Hadfield and Parazynski installed the station's UHF antenna, and the Canadian Space Agency-made Canadarm2. They connected cables to give the arm power and allow it to accept computer commands from inside the Destiny lab. Hadfield became the first Canadian spacewalker.[26]",,,
198,"STS-100
EVA 2","  Chris Hadfield
  Scott Parazynski","April 24, 2001
12:34","April 24, 2001
20:14","7 h, 40 min"
,,"Hadfield and Parazynski connected the Power Data Grapple Fixture circuits for Canadarm2 onto Destiny, removed an early communications antenna, transferred a spare Direct Current Switching Unit from Atlantis's payload bay to an equipment storage rack on the outside of Destiny.[27]",,,
199,"ISSExpedition 2
EVA 1","  Yury Usachev
  James Voss","June 8, 2001
14:21","June 8, 2001
14:40","0 h, 19 min"
,,"Usachev and Voss installed the docking cone onto the Zarya module, in preparation for the arrival of the Russian Pirs docking compartment. To date, this is the only EVA to be conducted from the transfer compartment at the forward end of the Zvezda Service Module.[28]",,,
200,"STS-104
EVA 1","  Michael Gernhardt
  James Reilly","July 15, 2001
03:10","July 15, 2001
09:09","5 h, 59 min"
,,Gernhardt and Reilly installed the Quest Joint Airlock onto the Unity node and connected power cables to it.[29][30][31],,,
201,"STS-104
EVA 2","  Michael Gernhardt
  James Reilly","July 18, 2001
03:04","July 18, 2001
09:33","6 h, 29 min"
,,"Gernhardt and Reilly installed one of two high-pressure nitrogen tanks, and one of two high-pressure oxygen tanks onto Quest, and installed grapple fixture and trunnioncovers.[29][31][32]",,,
202,"STS-104
EVA 3","  Michael Gernhardt
  James Reilly","July 21, 2001
04:35","July 21, 2001
08:37","4 h, 02 min"
,,"This was the first EVA conducted from the Quest airlock. Gernhardt and Reilly installed the second high-pressure nitrogen tank, and the second oxygen tank onto the Questairlock. After completion of the tank installation, Gernhardt and Reilly conducted a photography session around the new airlock.[31][33][34]",,,
203,"STS-105
EVA 1","  Daniel Barry
  Patrick Forrester","August 16, 2001
13:58","August 16, 2001
20:14","6 h, 16 min"
,,"Barry and Forrester installed an Early Ammonia Servicer onto the station's P6 truss, stowed a foot restraint, and installed the Materials International Space Station Experiment(MISSE)-1 and 2 containers onto the Quest airlock.[35][36]",,,
204,"STS-105
EVA 2","  Daniel Barry
  Patrick Forrester","August 18, 2001
13:42","August 18, 2001
19:11","5 h, 29 min"
,,Barry and Forrester installed heater cables and handrails onto the station's Destiny laboratory.[35][36],,,
205,"ISSExpedition 3
EVA 1","  Vladimir Dezhurov
  Mikhail Tyurin","October 8, 2001
14:24","October 8, 2001
19:22","4 h, 58 min"
,,"Dezhurov and Tyurin installed cables between the Pirs module and the Zvezda module to allow spacewalk radio communications between the two sections. The cosmonauts installed handrails onto Pirs, and installed an exterior ladder to assist spacewalkers leaving Pirs. They also installed a Strela cargo crane.[37]",,,
206,"ISSExpedition 3
EVA 2","  Vladimir Dezhurov
  Mikhail Tyurin","October 15, 2001
09:17","October 15, 2001
15:08","5 h, 51 min"
,,Dezhurov and Tyurin installed Russian commercial experiments (MPAC-SEEDS) onto the exterior of the Pirs docking compartment.[37],,,
207,"ISSExpedition 3
EVA 3","  Vladimir Dezhurov,
  Frank Culbertson","November 12, 2001
21:41","November 13, 2001
02:46","5 h, 05 min"
,,"Dezhurov and Culbertson connected cables on the exterior of Pirs for the Kurs automated docking system, completed checks of the Strela cargo crane, and inspected and photographed a panel of a solar array on Zvezda that had a portion of a panel not fully unfolded.[37]",,,
208,"ISSExpedition 3
EVA 4","  Vladimir Dezhurov
  Mikhail Tyurin","December 3, 2001
13:20","December 3, 2001
16:06","2 h, 46 min"
,,"Dezhurov and Tyurin removed an obstruction that prevented a Progress resupply ship from firmly docking with the station, and took pictures of the debris and of the docking interface.[37]",,,
209,"STS-108
EVA 1","  Linda Godwin
  Daniel Tani","December 10, 2001
17:52","December 10, 2001
22:04","4 h, 12 min"
,,"Godwin and Tani installed insulating blankets around two Beta Gimbal Assemblies that rotate the station's solar array wings, and performed tasks in preparation for STS-110's spacewalks.[38][39][40]",,,
210,"ISSExpedition 4
EVA 1","  Yuri Onufriyenko
  Carl Walz","January 14, 2002
20:59","January 15, 2002
03:02","6 h, 03 min"
,,Onufriyenko and Walz moved the cargo boom for the Russian Strela crane from PMA-1 to the exterior of the Pirs docking compartment and installed an amateur radio antenna onto the end of Zvezda.[41],,,
211,"ISSExpedition 4
EVA 2","  Yuri Onufriyenko
  Daniel Bursch","January 25, 2002
15:19","January 25, 2002
2118","5 h, 59 min"
,,"Onufriyenko and Bursch installed six deflector shields for Zvezda's jet thrusters, installed a second amateur radio antenna, attached four science experiments, and retrieved and replaced a device to measure material from the thrusters.[41]",,,
212,"ISSExpedition 4
EVA 3","  Carl Walz
  Daniel Bursch","February 20, 2002
11:38","February 20, 2002
17:25","5 h, 47 min"
,,"Walz and Bursch tested the Quest airlock, and prepared it for the four spacewalks to be performed during STS-110. This was the first spacewalk to be based out of Questwithout a Space Shuttle docked at the station.[41]",,,
213,"STS-109
EVA 1","  John Grunsfeld
  Richard Linnehan","March 4, 2002
06:37","March 4, 2002
13:38","7 h, 01 min"
,,"Grunsfeld and Linnehan removed the old starboard solar array on the Hubble Space Telescope and replaced it with a new, smaller and more powerful third generation solar array. The old array was stowed in Columbia's payload bay for return to Earth.[42]",,,
214,"STS-109
EVA 2","  Jim Newman
  Michael Massimino","March 5, 2002
06:40","March 5, 2002
13:56","7 h, 16 min"
,,Newman and Massimino removed the old port solar array on the Hubble Space Telescope and replaced it with a new third generation solar array. The old array was stowed inColumbia's payload bay for return to Earth. The two astronauts then removed and replaced the Reaction Wheel Assembly (RWA).[43],,,
215,"STS-109
EVA 3","  John Grunsfeld
  Richard Linnehan","March 6, 2002
08:28","March 6, 2002
15:16","6 h, 48 min"
,,"The spacewalk was delayed two hours by a water leak in Grunsfeld's spacesuit. The old Power Control Unit (PCU) was removed from Hubble and stowed for return to Earth. A new, more powerful PCU, sized to match the more productive solar arrays, was installed.[44]",,,
216,"STS-109
EVA 4","  Jim Newman
  Michael Massimino","March 7, 2002
09:00","March 7, 2002
16:30","7 h, 30 min"
,,"Newman and Massimino removed the Faint Object Camera from the aft shroud of Hubble and installed the Advanced Camera for Surveys (ACS) in the same location. After stowing the Faint Object Camera in Columbia for return to Earth, the Electronic Support Module was installed in the aft shroud.[45]",,,
217,"STS-109
EVA 5","  John Grunsfeld
  Richard Linnehan","March 8, 2002
08:46","March 8, 2002
16:06","7 h, 20 min"
,,"Linnehan and Grunsfeld installed an experimental cryocooler for NICMOS inside the aft shroud of Hubble and connected it to the Electronic Support Module installed the day before. Then the two spacewalkers installed the Cooling System Radiator to the outside of Hubble, and connected it to the NICMOS.[46]",,,
218,"STS-110
EVA 1","  Steven Smith
  Rex Walheim","April 11, 2002
14:36","April 11, 2002
22:24","7 h, 48 min"
,,"Smith and Walheim began installing the S0 truss onto Destiny by setting up initial power and data connections between the station and the truss, and installing two forward struts that permanently held the truss in place.[47]",,,
219,"STS-110
EVA 2","  Jerry Ross
  Lee Morin","April 13, 2002
14:09","April 13, 2002
21:39","7 h, 30 min"
,,"Ross and Morin continued the installation of the S0 truss, installing power and data cable connections between the truss and the station, and two aft struts that permanently held the truss in place.[47]",,,
220,"STS-110
EVA 3","  Steven Smith
  Rex Walheim","April 14, 2002
13:48","April 14, 2002
20:15","6 h, 27 min"
,,"Smith and Walheim released the claw that was used in the initial attachment of the S0 truss, installed connectors used to route power to Canadarm2 when it is on the truss, released launch restraints from the Mobile Transporter, and removed a small thermal cover the Mobile Transporter's radiator.[47]",,,
221,"STS-110
EVA 4","  Jerry Ross
  Lee Morin","April 16, 2002
14:29","April 16, 2002
21:06","6 h, 37 min"
,,"Ross and Morin pivoted the ""Airlock Spur"", which is currently used by spacewalkers as a path from the Quest airlock to the truss, installed handrails onto S0, partially assembled a platform, and installed two floodlights.[47][48]",,,
222,"STS-111
EVA 1","  Franklin Chang-Diaz
  Philippe Perrin","June 9, 2002
15:27","June 9, 2002
22:41","7 h, 14 min"
,,"Chang-Diaz and Perrin attached a Power Data Grapple Fixture to the P6 truss, removed debris panels from Endeavour's payload bay and attached them to a temporary location on PMA-1, and removed thermal blankets to prepare the Mobile Base System (MBS) for installation onto the station's Mobile Transporter.[49][50]",,,
223,"STS-111
EVA 2","  Franklin Chang-Diaz
  Philippe Perrin","June 11, 2002
15:27","June 11, 2002
22:41","5 h, 00 min"
,,"Chang-Diaz and Perrin attached the Mobile Base System to the Mobile Transporter, and attached power, data and video cables from the station to the MBS.[49][51]",,,
224,"STS-111
EVA 3","  Franklin Chang-Diaz
  Philippe Perrin","June 13, 2002
15:16","June 13, 2002
22:33","7 h, 17 min"
,,"Chang-Diaz and Perrin replaced Canadarm2's wrist roll joint, and stowed the old joint in Endeavour's payload bay to be returned to Earth.[49][52]",,,
225,"ISSExpedition 5
EVA 1","  Valery Korzun
  Peggy Whitson","August 16, 2002
09:25","August 16, 2002
1348","4 h, 23 min"
,,Korzun and Whitson installed six micrometeoroid debris panels onto Zvezda. These panels were the first six of 23 panels that were installed to add more micrometeoroid protection to Zvezda.[53],,,
226,"ISSExpedition 5
EVA 2","  Valery Korzun
  Sergei Treshchev","August 26, 2002
05:27","August 26, 2002
10:48","5 h, 21 min"
,,"Korzun and Treshchev installed a frame on the outside of Zarya for spacewalk assembly tasks, installed new samples on a pair of Japanese Space Agency experiments housed on Zvezda, installed devices on Zvezda that would simplify the routing of tethers during future spacewalks, and installed two additional amateur radio antennas onZvezda.[53]",,,
227,"STS-112
EVA 1","  David Wolf
  Piers Sellers","October 10, 2002
15:21","October 10, 2002
22:22","7 h, 01 min"
,,"Wolf and Sellers released launch locks that held the S1 truss radiators in place during launch, attached power, data and fluid lines between the S1 truss and S0 truss, deployed the station's second S-Band communications system, installed the first of two external camera systems, and released launch restraints on the truss's mobile spacewalk workstation, the Crew and Equipment Translation Aid (CETA).[54][55]",,,
228,"STS-112
EVA 2","  David Wolf
  Piers Sellers","October 12, 2002
14:31","October 12, 2002
20:35","6 h, 04 min"
,,"Wolf and Sellers installed a second camera system, released more radiator launch locks, removed insulation covers on quick-disconnect fittings near the Z1 and P6 junction, installed Spool Positioning Devices, released starboard-side launch restraints on the CETA cart, and attached Ammonia Tank Assembly cables.[54][56]",,,
229,"STS-112
EVA 3","  David Wolf
  Piers Sellers","October 14, 2002
14:08","October 14, 2002
20:44","6 h, 36 min"
,,"Wolf and Sellers removed and replaced the Interface Umbilical Assembly on the station's Mobile Transporter, installed two jumpers allowing for ammonia coolant to flow between the S1 and S0 trusses, released a drag link and stowed it, and installed Spool Positioning Devices (SPD) on ammonia lines.[54][57]",,,
230,"STS-113
EVA 1","  Michael Lopez-Alegria
  John Herrington","November 26, 2002
19:49","November 27, 2002
02:34","6 h, 45 min"
,,"Lopez-Alegria and Herrington began the initial installation of the P1 truss by installing connections between the P1 and the S0 truss, releasing launch restraints on the CETA cart, installing Spool Positioning Devices (SPDs) onto the station, and removing a drag link on P1 that served as a launch restraint. They also installed a wireless video system External Transceiver Assembly onto the Unity node.[58][59]",,,
231,"STS-113
EVA 2","  Michael Lopez-Alegria
  John Herrington","November 28, 2002
18:36","November 29, 2002
00:46","6 h, 10 min"
,,"Lopez-Alegria and Herrington installed fluid jumpers where the S0 and the P1 are attached to each other, removed the P1's starboard keel pin, installed another wireless video system External Transceiver Assembly onto the P1, and relocated the CETA cart from the P1 to the S1 truss.[58][60]",,,
232,"STS-113
EVA 3","  Michael Lopez-Alegria
  John Herrington","November 30, 2002
19:25","December 1, 2002
02:25","7 h, 00 min"
,,"Herrington successfully troubleshot a mobility issue with the CETA cart. Lopez-Alegria and Herrington then completed the planned EVA activities by installing more Spool Positioning Devices, reconfiguring electrical harnesses that route power through the Main Bus Switching Units, and attaching Ammonia Tank Assembly lines.[58][61]",,,
233,"ISSExpedition 6
EVA 1","  Kenneth Bowersox
  Donald Pettit","January 15, 2003
12:50","January 15, 2003
19:41","6 h, 51 min"
,,"Bowersox and Pettit released the remaining launch locks on the P1 radiator assembly, removed debris on a sealing ring of Unity's docking port, and tested an ammonia reservoir on the station's P6 truss.[62]",,,
234,"ISSExpedition 6
EVA 2","  Kenneth Bowersox
  Donald Pettit","April 8, 2003
12:40","April 8, 2003
19:06","6 h, 26 min"
,,"Bowersox and Pettit reconfigured cables on the S0, S1 and P1 trusses, replaced a Power Control Module on the Mobile Transporter, installed Spool Positioning Devices onDestiny, and reinstalled a thermal cover on an S1 Radiator Beam Valve Module.[62]",,,
235,"ISSExpedition 8
EVA 1","  Michael Foale
  Alexander Kaleri","February 26, 2004
21:17","February 27, 2004
01:12","3 h, 55 min"
,,"Foale and Kaleri replaced cassette containers that held sample materials for a microgravity experiment, attached the Russian experiment Matryoshka to Zvezda, and removed a JAXA micrometeoroid impact experiment. The spacewalk was cut short due to a cooling system malfunction in Kaleri's spacesuit.[63]",,,
236,"ISSExpedition 9
EVA 1","  Gennady Padalka
  Michael Fincke","June 24, 2004
21:57","June 24, 2004
22:10","0 h, 13 min"
,,The spacewalk cut short due to a pressure problem in Fincke's prime oxygen tank in his spacesuit. Mission managers decided to reschedule the spacewalk for 30 June.[64][65],,,
237,"ISSExpedition 9
EVA 2","  Gennady Padalka
  Michael Fincke","June 30, 2004
21:19","July 1, 2004
02:59","5 h, 40 min"
,,"Padalka and Fincke replaced a Remote Power Controller (RPC) that failed in late April, causing a loss of power in Control Moment Gyroscope 2 (CMG 2). This spacewalk was the first time that primary Mission Control was transitioned from Moscow to Houston during an EVA.[64][66]",,,
238,"ISSExpedition 9
EVA 3","  Gennady Padalka
  Michael Fincke","August 3, 2004
06:58","August 3, 2004
11:28","4 h, 30 min"
,,"Padalka and Fincke removed laser retro reflectors from the Zvezda assembly compartment, and installed three updated laser retro reflectors and one internal videometer target in preparation for the Automated Transfer Vehicle (ATV). They also installed two antennas, and removed and replaced Kromka experiment packages.[64][67]",,,
239,"ISSExpedition 9
EVA 4","  Gennady Padalka
  Michael Fincke","September 3, 2004
16:43","September 3, 2004
22:04","5 h, 20 min"
,,"Padalka and Fincke continued preparations for the arrival of the European Space Agency's Automatic Transfer Vehicle. They replaced the Zarya Control Module flow control panel, installed four safety tether fairleads on Zarya's handrails, installed three communications antennas, and removed covers from the antennas.[64][68]",,,
240,"ISSExpedition 10
EVA 1","  Leroy Chiao
  Salizhan Sharipov","January 26, 2005,
07:43","January 26, 2005,
13:11","5 h, 28 min"
,,"Chiao and Sharipov completed the installation of the Universal Work Platform, mounted the European commercial experiment Rokviss (Robotic Components Verification on ISS) and its antenna, installed the Russian Biorisk experiment, and relocated a Japanese exposure experiment.[69][70]",,,
241,"ISSExpedition 10
EVA 2","  Leroy Chiao
  Salizhan Sharipov","March 28, 2005,
06:25","March 28, 2005,
11:31","5 h, 06 min"
,,"Chiao and Sharipov installed navigational and communications equipment for the arrival of the first Automated Transfer Vehicle (ATV), and deployed an 11-pound Russian Nanosatellite.[69][71]",,,
242,"STS-114
EVA 1","  Soichi Noguchi
  Stephen Robinson","July 30, 2005,
05:46","July 30, 2005,
12:36","6 h, 50 min"
,,"Noguchi and Robinson demonstrated shuttle thermal protection repair techniques and enhancements to the Station’s attitude control system. They also installed a base and cabling for an External Stowage Platform, rerouted power to Control Moment Gyroscope-2 (CMG-2), retrieved two exposure experiments, and replaced a faulty global positioning system antenna on the station.[72]",,,
243,"STS-114
EVA 2","  Soichi Noguchi
  Stephen Robinson","August 1, 2005,
04:44","August 1, 2005,
11:58","7 h, 14 min"
,,"Noguchi and Robinson removed a faulty CMG-1 from the Z1 truss, installed the faulty CMG-1 into Discovery's payload bay, and installed a new CMG-1 on the Z1 truss segment.[73][74]",,,
244,"STS-114
EVA 3","  Soichi Noguchi
  Stephen Robinson","August 3, 2005,
04:14","August 3, 2005,
10:15","6 h, 01 min"
,,"Noguchi and Robinson photographed and inspected Discovery’s heat shield, removed two protruding gap fillers from between tiles in the forward area of the orbiter’s underside, and installed the amateur radio satellite PCSAT2.[75]",,,
245,"ISSExpedition 11
EVA 1","  Sergei Krikalev
  John L. Phillips","August 18, 2005,
19:02","August 19, 2005,
00:00","4 h, 58 min"
,,"Krikalev and Phillips retrieved one of three canisters from the Biorisk experiment, removed the Micro-Particles Capturer experiment and Space Environment Exposure Device from Zvezda, retrieved the Matroska experiment, and installed an Automated Transfer Vehicle (ATV) docking television camera.[76][77]",,,
246,"ISSExpedition 12
EVA 1","  William McArthur
  Valery Tokarev","November 7, 2005,
15:32","November 7, 2005,
20:54","5 h, 22 min"
,,"McArthur and Tokarev installed and set up the P1 Truss camera, retrieved a failed Rotary Joint Motor Controller (RJMC), jettisoned a Floating Potential Probe, and removed and replaced a remote power controller module on the Mobile Transporter. This was the first Quest airlock-based spacewalk since April 2003.[78]",,,
247,"ISSExpedition 12
EVA 2","  William McArthur
  Valery Tokarev","February 3, 2006,
9:55","February 3, 2006,
16:27","5 h, 43 min"
,,"McArthur and Tokarev released SuitSat-1, retrieved the Biorisk experiment, photographed a sensor for a micrometeoroid experiment, relocated an adapter for a small crane, and tied off the surviving umbilical of the Mobile Transporter.[79]",,,
248,"ISSExpedition 13
EVA 1","  Pavel Vinogradov
  Jeffrey Williams","June 1, 2006
23:48","June 2, 2006
06:19","6 h, 31 min"
,,"Vinogradov and Williams repaired a vent for the station's oxygen-producing Elektron unit, retrieved a Biorisk experiment, retrieved a contamination-monitoring device fromZvezda, and replaced a malfunctioning camera on the Mobile Base System.[80]",,,
249,"STS-121
EVA 1","  Piers Sellers
  Michael E. Fossum","July 8, 2006
13:17","July 8, 2006
20:48","7 h, 31 min"
,,"Sellers and Foale installed a blade blocker in the zenith Interface Umbilical Assembly (IUA) to protect the undamaged power, data and video cable, and rerouted the cable to prepare for the second EVA. They also tested the combination of the Space Shuttle Remote Manipulator System (SSRMS) and the Orbiter Boom Sensor System (OBSS) as a platform for astronauts to make repairs to a damaged orbiter.[81]",,,
250,"STS-121
EVA 2","  Piers Sellers
  Michael E. Fossum","July 10, 2006
7:14","July 10, 2006
14:01","6 h, 47 min"
,,"Sellers and Fossum restored the International Space Station’s Mobile Transporter rail car to full operation, and delivered a spare pump module for the station’s cooling system. Sellers' SAFER pack came loose during the EVA, requiring Fossum to stop twice during the spacewalk to secure the pack with safety tethers.[82]",,,
251,"STS-121
EVA 3","  Piers Sellers
  Michael E. Fossum","July 12, 2006
6:20","July 12, 2006
13:31","7 h, 11 min"
