marshall space flight center :368
section of the american :5
secretary of transporta tion :5
secretary of state william :5
secretary of housing and :5
secretary of health education :5
secretary of defense for :5
secretary of de fense :5
secre tary of defense :5
second would be launched :5
second phase of the :5
search for evidence of :5
sea of tran quility :5
scout launch vehicle and :5
scout booster from wtr :5
scott and james b :5
scope but nevertheless of :5
scientists would participate in :5
scientists throughout the world :5
scientists and engineers would :5
scientific and technical infor :5
scientific achievement medal to :5
science technology and space :5
science technology and policy :5
science foundation reported that :5
science by univ of :5
science board of the :5
science and technology which :5
science and technology that :5
science and technology agency :5
science and technology advisory :5
science and astronautics published :5
science and astronautics on :5
science and astronautics and :5
science adviser to the :5
school at edwards afb :5
scheduled to launch the :5
scheduled to go into :5
scheduled for the second :5
scheduled for 1975 launch :5
scheduled for 1972 launch :5
saturn v booster and :5
saturn v 1st stages :5
saturn ib launch vehicles :5
saturn i and saturn :5
satellites launched by nasa :5
satellite was to be :5
satellite was scheduled to :5
satellite situation report compiled :5
satellite launched 23 july :5
satellite in essaâ€™s tiros :5
satellite had been used :5
satellite from vandenberg air :5
satellite for ionospheric studies :5
satellite communica tions system :5
sands missile range was :5
sands missile range in :5
salt lake city utah :5
said to be the :5
said that the soviet :5
said soviet scientists had :5
said one of the :5
said new york times :5
said in washington evening :5
said in an address :5
said at a press :5
s t a r :5
s p a c :5
rpt srl ∞ apollo :5
rpt srl ∞ aerobee :5
roy p jackson nasa :5
routine launching of cosmos :5
route traffic control centers :5
round of strategic arms :5
rome air development center :5
rogers lake bed calif :5
rockwell international corp to :5
rockwell international corp for :5
rockets to be launched :5
rockets from white sands :5
rocket from poker flats :5
rocket from nasa wallops :5
rocket development station jackass :5
rocco a petrone msfc :5
robert r gilruth announced :5
robert hutchings goddard library :5
revolutions in lunar orbit :5
reviews of data on :5
returned to the earth :5
results of the experiments :5
resting on the moon :5
resources technology satellite erts :5
resolution was referred to :5
research range carried gsfc :5
research range canada carrying :5
research center edwards calif :5
research center announced the :5
research center after airlaunch :5
research center 19401965 nasa :5
research and technology would :5
research and technology was :5
research and technology oart :5
research and technology dr :5
research and technology advisory :5
research and engi neering :5
research and development was :5
research and development rd :5
research and development had :5
research and development funds :5
research and development activities :5
request for proposals to :5
republic of china to :5
reported to be functioning :5
reported that the usaf :5
reported that nasa was :5
reported it had begun :5
reported aviation week and :5
report translations from the :5
report governmental announcements and :5
rep olin teague dtex :5
rep donald rumsfeld rill :5
rep charles a mosher :5
rep 1967 gsfc ssr :5
rendezvous and docking systems :5
remote areas of the :5
release 7 4 4 :5
release 6 6 2 :5
regions of the sun :5
regions of the ionosphere :5
referencesâ€ was prepared by :5
reference to greenwich time :5
reentry into the atmosphere :5
recording sound arrivals on :5
record had been set :5
record for time in :5
record for the longest :5
received honorary doctor of :5
reached peak altitude of :5
reached 19 800m 65 :5
reach the moon and :5
rays and cosmic rays :5
ranking minority member of :5
range on a delta :5
radio amateur satellite corp :5
r scott and james :5
quoted in washington post :5
quiet sun year iqsy :5
purpose of mission was :5
published by new york :5
publications include tech briefs :5
public affairs officer paul :5
project was sponsored by :5
project manager james s :5
project manager for the :5
project manager at jpl :5
proj off ∞ aerobee :5
proj off gsfc ssr :5
progress had been made :5
programs in the office :5
program was announced by :5
program to determine the :5
program of space exploration :5
program of nasa and :5
professor of astronomy at :5
problems of our society :5
probe or manned flightare :5
pro gram was managed :5
principal investigator for apollo :5
primary purpose of flight :5
primary objectives of the :5
primary nasa mission objectives :5
pressure temperature and density :5
pressure distribution and performance :5
press later reported that :5
presidential science adviser dr :5
president of the international :5
president of lockheed aircraft :5
president of general electric :5
president charles de gaulle :5
pres rpt 71 ∞ :5
pres rep 1967 gsfc :5
prepared by leonard c :5
premier aleksey n kosygin :5
pratt whitney div and :5
postlanding tv pictures of :5
post reported that the :5
port of new york :5
polar orbit with a :5
poker flat rocket range :5
pndb perceived noise in :5
plesetsk into an orbit :5
plans for a manned :5
plans called for the :5
planning and direction of :5
planets of the solar :5
pioneer dr robert h :5
pioneer 10 launched 2 :5
pilot school at edwards :5
pilot fitzhugh l fulton :5
pilot alvin s white :5
pictures of the surface :5
pictures of the moon :5
physics at univ of :5
photos of the sun :5
photographs of the lunar :5
photographic coverage was obtained :5
phase i of the :5
period and 74o inclination :5
period and 729â€ inclination :5
period and 728â€™ inclination :5
period and 65 inclination :5
period and 629â€ inclination :5
period and 628â€ inclination :5
period and 517â€™ inclination :5
period and 515â€ inclination :5
period and 484â€™ inclination :5
period and 1109â€™ inclination :5
period 897 min inclination :5
perigee 953min period and :5
perigee 951min period and :5
perigee 919min period and :5
perigee 900min period and :5
perigee 884min period and :5
perigee 883min period and :5
perigee 211 km 131 :5
performed satisfactorily gsfc proj :5
performed according to plan :5
performance and mission resultssuccessful :5
per sq m 5 :5
payload to study ionosphere :5
patterson air force base :5
passed by vote of :5
participated in source collection :5
part of the national :5
part of a series :5
paris international air and :5
panels and two antennas :5
pad at cape canaveral :5
p r o p :5
p jackson nasa associate :5
p and unsuccessful u :5
p a c e :5
ozone distribution in the :5
owen k garriott and :5
over the western pacific :5
over the south pacific :5
over the pacific and :5
over a long period :5
outstanding young men in :5
outstanding contributions to the :5
outer space tass announced :5
our space program is :5
other parts of the :5
other agencies and the :5
os0 orbiting solar observatory :5
orville and wilbur wright :5
orbiting vehicle research satellites :5
orbiting astronomical observatory launched :5
orbited by the ussr :5
orbital parame ters apogee :5
orbit with 1469km 9128mi :5
orbit over the atlantic :5
orbit of sufficient accuracy :5
orbit for up to :5
orbit and provide tracking :5
orbit and 6 lunar :5
or manned flightare listed :5
operations walter j kapryan :5
operations donald k slayton :5
operation of the satellite :5
operate out to lunar :5
opened to the public :5
open sources were used :5
open sources by leonard :5
open ones verified where :5
only those references which :5
only flights that have :5
only a few of :5
ones verified where in :5
one third of the :5
one of the soviet :5
one of the largest :5
one of the few :5
on us flights are :5
on top of the :5
on the west coast :5
on the star canopus :5
on the shoulders of :5
on the senate floor :5
on the saturn v :5
on the saturn ib :5
on the order of :5
on the night side :5
on the need for :5
on the moon jan :5
on the moon for :5
on the limitation of :5
on the launch vehicle :5
on the human environment :5
on the future of :5
on the day side :5
on the bicycle ergometer :5
on the apollosoyuz test :5
on one of the :5
on nasa fy 1973 :5
on moon during apollo :5
on moon by luna :5
on moon and return :5
on mars in 1976 :5
on mars had been :5
on mars and venus :5
on lunar sur face :5
on labor and public :5
on each of the :5
on display at the :5
on cooperation in the :5
on behalf of himself :5
on behalf of all :5
on august 12 1960 :5
on applications and tracking :5
on apollosoyuz test project :5
on apollo 13 mission :5
on a trajectory toward :5
on a global scale :5
on a global basis :5
on a costreimbursable basis :5
office of the president :5
office of space and :5
office of legislative affairs :5
office of grants and :5
office at nasa manned :5
off coast of kenya :5
of water on mars :5
of us supersonic transport :5
of upper atmosphere and :5
of two contracts for :5
of titan 111c was :5
of this type of :5
of the wright brothersâ€™ :5
of the wright brothers :5
of the viking 2 :5
of the value of :5
of the ussr and :5
of the us total :5
of the system and :5
of the supreme soviet :5
of the sun in :5
of the soviet unionâ€™s :5
of the skylab program :5
of the scout launch :5
of the saturn i :5
of the salyut 6 :5
of the rest of :5
of the program to :5
of the north atlantic :5
of the navy paul :5
of the naval research :5
of the nationâ€™s resources :5
of the national security :5
of the most significant :5
of the moon that :5
of the moon on :5
of the moon is :5
of the moon in :5
of the moon had :5
of the moon by :5
of the metric system :5
of the matter is :5
of the launching of :5
of the ionosphere and :5
of the international academy :5
of the interior and :5
of the human spirit :5
of the human race :5
of the house com :5
of the high energy :5
of the heat shield :5
of the gemini vi :5
of the gemini v :5
of the first satellite :5
of the first of :5
of the first manned :5
of the far side :5
of the experiment was :5
of the effect of :5
of the earths magnetic :5
of the earth to :5
of the earth in :5
of the development of :5
of the asteroid belt :5
of the apollo command :5
of the american society :5
of the american physical :5
of the american association :5
of temperature pressure and :5
of technology astronomy experiment :5
of technology assessment for :5
of such a system :5
of strategic arms limitation :5
of stability and control :5
of space technology in :5
of space technology and :5
of space tech nology :5
of space research in :5
of space flight on :5
of space flight and :5
of soviet socialist re :5
of science policy research :5
of science and industry :5
of science and engineering :5
of reusable space shuttle :5
of reference stated or :5
of re search and :5
of prolonged space flight :5
of powered flight were :5
of plans and program :5
of payloads that have :5
of outer spaceâ€ was :5
of outer space tass :5
of outer space had :5
of outer space and :5
of only a few :5
of new manned bomber :5
of national oceanic and :5
of national advisory committee :5
of nasa tracking station :5
of nasa nasa ep29 :5
of nasa manned space :5
of more than 200 :5
of millions of dollars :5
of major nasa launches :5
of lunar samples and :5
of life on the :5
of launch operations walter :5
of jploperated deep space :5
of joint chiefs of :5
of international cooperation in :5
of international affairs nasa :5
of industry affairs and :5
of illinois and the :5
of going to the :5
of general motors corp :5
of experiment was to :5
of electrical and electronic :5
of electrical and elec :5
of earthâ€™s atmosphere and :5
of dr james r :5
of douglas aircraft co :5
of defense and the :5
of defense and nasa :5
of data on science :5
of corp for public :5
of congress history of :5
of case institute of :5
of carrier rocket tests :5
of carbon dioxide in :5
of cape canaveral to :5
of astronautics and aeronautics :5
of applied research and :5
of apollo command module :5
of apollo 12 lunar :5
of apollo 11 astronauts :5
of antiballistic missile systems :5
of all rocket vehicles :5
of all major pieces :5
of a space shuttle :5
of a million miles :5
of a malfunction in :5
of a heart attack :5
of 1961 published by :5
obtain postlanding tv pictures :5
obtain highresolution spectral data :5
objectives would be to :5
objectives were to demonstrate :5
objectives appeared to have :5
objective was to test :5
objective of mission was :5
o u n d :5
o u l d :5
ny times reported that :5
not be used for :5
not avail not avail :5
north and south poles :5
north american aviation incâ€™s :5
north american avia tion :5
noon and midnight local :5
nobel prize in physics :5
no data were obtained :5
no attempt was made :5
no 3 piloted by :5
no 1 piloted by :5
nixon submitted to the :5
nixon announced his intention :5
nixon and soviet communist :5
niketomahawk sounding rockets from :5
nikecajun sounding rocket from :5
nikeapache sounding rockets carrying :5
newtons per sq cm :5
news and world report :5
new york times that :5
new york times quoted :5
new york times news :5
new york times editorialized :5
new york at stony :5
nerva nuclear rocket engine :5
negotiation of contract to :5
negotiation of contract for :5
necessarily arbitrary many of :5
near edwards afb calif :5
naval research laboratory payload :5
nations educational scientific and :5
nations committee on the :5
national space program is :5
national science foundation was :5
national oceanic and atmos :5
national labor relations board :5
national gallery of art :5
national conference on the :5
national committee on space :5
national committee for space :5
nation in the world :5
nasaâ€™s marshall space flight :5
nasaâ€™s m2f3 liftingbody vehicle :5
nasaâ€™s langley research center :5
nasaâ€™s assistant administrator for :5
nasa would negotiate with :5
nasa would launch the :5
nasa would be responsible :5
nasa wallops station was :5
nasa wallops station between :5
nasa wallops sta tion :5
nasa technology utilization program :5
nasa successfully launched essa :5
nasa sp 4202 1970 :5
nasa rpt srl october :5
nasa research and development :5
nasa proj off sbd :5
nasa proj off ap :5
nasa prog off nasa :5
nasa planned to use :5
nasa planned to launch :5
nasa office of international :5
nasa off of admin :5
nasa nasa ep29 1965 :5
nasa mission objectives were :5
nasa mission objective was :5
nasa medal for exceptional :5
nasa mar shall space :5
nasa lunar and planetary :5
nasa legislative activities report :5
nasa launched two nikecajun :5
nasa langley re search :5
nasa in cooperation with :5
nasa hq press briefing :5
nasa had decided to :5
nasa fy 1970 budget :5
nasa fy 1969 budget :5
nasa fy 1968 authorization :5
nasa from kiruna sweden :5
nasa for comsatcorp on :5
nasa exceptional service medals :5
nasa exceptional scientific achievement :5
nasa director of safety :5
nasa director of biotechnology :5
nasa director of aeronautical :5
nasa deputy associate adminis :5
nasa deputy adminis trator :5
nasa associate administra tor :5
nasa announced that it :5
nasa and usaf had :5
nasa and other government :5
nasa administrator robert frosch :5
nasa administrator james c :5
nasa administrator and dr :5
nas president dr philip :5
nas president dr frederick :5
named recipient of the :5
named in honor of :5
nacional de atividades espaciais :5
n volkov and viktor :5
museum of history and :5
museum in washington dc :5
museum at wrightpatterson afb :5
mstislav keldysh president of :5
msfc announced selection of :5
msc space news roundup :5
msc director of flight :5
msc deputy director christopher :5
mrs helen t wells :5
motor was fired to :5
most outstanding contribution to :5
more than twice as :5
more than three years :5
more than one million :5
more than a million :5
more than a decade :5
more than 80 of :5
more than 20 million :5
more than 100 000 :5
more than 10 million :5
more human beings into :5
moonâ€™s ocean of storms :5
moon on board luna :5
moon by apollo 15 :5
monthly segments in comment :5
modification to contract with :5
mission would be launched :5
mission to jupiter and :5
mission scheduled for july :5
mission objectives had been :5
mission director chester m :5
missile was launched from :5
missile range carrying univ :5
missile and space co :5
minutes for the ussr :5
minuteman icbm from cape :5
ministry for education and :5
minister for scientific research :5
min on lunar surface :5
min later by launch :5
min and inclination 65â€ :5
min after launch and :5
millions of tv viewers :5
million less than nasa :5
million less than fy :5
million for apollo applications :5
million for administrative operations :5
million below fy 1968 :5
military air transport service :5
miles per hour by :5
miles from earth and :5
might be used in :5
might be composed of :5
mi period 898 min :5
mi period 892 min :5
mi period 882 min :5
mi perigee 211 km :5
mi perigee 209 km :5
mi and a perigee :5
mi 3595 km at :5
mg robert h curtin :5
met with president nixon :5
mercury nasa sp4003 1965 :5
memorial dinner in washington :5
members of the international :5
member of the nasa :5
member of senate committee :5
meeting of the international :5
medal of science to :5
medal for his work :5
measure ozone distribution in :5
measure electron temperature and :5
measure electron density in :5
mcdonnell douglas corp to :5
mcdonnell aircraft corp and :5
mcdivitt david r scott :5
mayor john v lindsay :5
may have been a :5
may 30 1971 and :5
may 14 and 15 :5
maximum speed of 3545 :5
max planck institute of :5
max planck institute for :5
mars 4 and 5 :5
marks dates of soviet :5
marked the first time :5
marion power shovel co :5
manned spacecraft center would :5
manned spacecraft center msc :5
manned spacecraft center in :5
manned spacecraft center awarded :5
manned space station in :5
manned space flight testified :5
manned space flight management :5
manned space flight capability :5
manned orbiting laboratory program :5
manned missions program office :5
manned lunar landing was :5
manned lunar landing and :5
manned gemini space flight :5
manager of the shuttle :5
manager james s martin :5
management was assigned to :5
managed by arc under :5
man to walk in :5
man in space is :5
man hours in space :5
make use of the :5
major portion of the :5
major pieces of apollo :5
major objective of the :5
major factor in the :5
maj gen ben i :5
made successful emergency landing :5
made its maiden flight :5
made it impossible to :5
m scott carpenter and :5
m s f c :5
lyndon b johnson space :5
lyndon b johnson said :5
lunar science institute in :5
lunar orbit and 2 :5
lunar landing training vehicle :5
lunar landing mission scheduled :5
louis w hill space :5
los angeles times reported :5
longitudinal trim and lifttodrag :5
lomask vanguard a history :5
lockheed aircraft corp to :5
lm ascent stage was :5
listing of payloads that :5
limitation of antiballistic missile :5
lewis research center to :5
lewis research center in :5
less than that of :5
legislative activities report vol :5
legal subcommittee of un :5
left on the moon :5
left on lunar surface :5
launching of unidentified satellite :5
launches were conducted for :5
launched unidentified satellite on :5
launched three sounding rockets :5
launched thoragena d launch :5
launched march 7 1962 :5
launched from wsmr car :5
launched from plesetsk by :5
launched from kennedy space :5
launched from hammaguir range :5
launched feb 16 1965 :5
launched dec 13 1967 :5
launched by atlasagena d :5
launched blue scout jr :5
launched aug 17 1966 :5
launched april 14 1969 :5
launched an aerobee 150a :5
launched an aerobee 150 :5
launched a niketomahawk sounding :5
launched 3 nov 1973 :5
launch was watched by :5
launch vehicle launched from :5
launch vehicle failed to :5
launch vehicle and launch :5
launch support services at :5
launch operations walter j :5
launch had been postponed :5
launch events occurred as :5
latham principal investigator for :5
later in the day :5
later by launch of :5
late president john f :5
largest in the world :5
large area crop inventory :5
larc would manage the :5
langley memorial aeronautical laboratory :5
landing research vehicle llrv :5
landing mission scheduled for :5
laboratory of the univ :5
l ∞ president nixon :5
l thompson director of :5
l swigert jr and :5
l dryden deputy administrator :5
kwajalein island in the :5
kurt h debus director :5
kraft jr director of :5
knowledge of the solar :5
knowledge of the moon :5
knight usaf flew x15 :5
kennedy space center on :5
kennedy space center had :5
kennedy space center at :5
kennedy and merritt island :5
k garriott and jack :5
jupiter probe launched march :5
jupiter in december 1974 :5
jr deputy nasa historian :5
jr assistant nasa historian :5
jr and charles conrad :5
joseph g gavin jr :5
joseph f cotton usaf :5
joint rendezvous and docking :5
johnson space center would :5
johnson president lyndon b :5
john w young thomas :5
john w young charles :5
john v tunney dcalif :5
john c stennis dmiss :5
joe engle and richard :5
jodrell bank experi mental :5
jet propulsion laboratory would :5
jet propulsion laboratory to :5
jet propulsion laboratory at :5
jet pro pulsion laboratory :5
jerry w friedheim said :5
jan 27 apollo accident :5
james s martin jr :5
james e webb had :5
james a mcdivitt david :5
j william fulbright dark :5
j knight usaf flew :5
iven c kincheloe award :5
iv launched nov 28 :5
italy the netherlands spain :5
it would negotiate contract :5
it would be returned :5
it would be in :5
it will not be :5
it was designed to :5
it was announced that :5
it is the first :5
it is clear that :5
it had launched a :5
it had established a :5
it had begun a :5
issued by the operations :5
issuance of requests for :5
is not just a :5
is not going to :5
is no reason to :5
is essential to the :5
is by no means :5
is a listing of :5
irradiance in support of :5
ionospheric observatory in puerto :5
inventions and contributions board :5
into synchronous equatorial orbit :5
into polar orbit with :5
into orbit with an :5
into orbit from cape :5
into orbit around mars :5
into earth orbit in :5
into earth orbit by :5
into earth orbit and :5
into circular orbit with :5
into a highly elliptical :5
into a higher orbit :5
international news service reports :5
international astronautics award for :5
international airport in chantilly :5
international air and space :5
intention to nominate dr :5
instruments performed satis factorily :5
instruments aboard for investigation :5
instrumentation performed satisfac torily :5
instrumenta tion performed satisfactorily :5
instituto nacional de tecnica :5
institute of technology astronomy :5
institute of space research :5
institute of space law :5
ing and data acquisition :5
information was compiled by :5
inflight tests of all :5
indications were that the :5
index astronautics and aeronautics :5
independent offices appropriation bill :5
increase the number of :5
increase in number of :5
including the space shuttle :5
includes launchings of all :5
inclination and reentered sept :5
inclination and reentered april :5
in washington dc nasa :5
in washing ton dc :5
in wash ington post :5
in various parts of :5
in upper atmosphere and :5
in this compilation than :5
in the wake of :5
in the us was :5
in the title of :5
in the summer of :5
in the space field :5
in the solution of :5
in the production of :5
in the presence of :5
in the planning stage :5
in the peaceful exploration :5
in the past few :5
in the operation of :5
in the next decade :5
in the nasa office :5
in the midst of :5
in the light of :5
in the last two :5
in the interest of :5
in the gulf of :5
in the formation of :5
in the forefront of :5
in the first quarter :5
in the first flight :5
in the federal government :5
in the fact that :5
in the evolution of :5
in the direction of :5
in the construction of :5
in the apollo spacecraft :5
in support of ogo :5
in support of nasaâ€™s :5
in support of apollo :5
in sup port of :5
in speech to the :5
in space in the :5
in space and aeronautics :5
in soviet manned space :5
in source collection review :5
in series of two :5
in scope but nevertheless :5
in science by univ :5
in science by jpl :5
in science by dr :5
in san clemente calif :5
in salt lake city :5
in remote sensing of :5
in remote areas of :5
in project mercury nasa :5
in preparation for a :5
in manned space flightâ€ :5
in lunar environment and :5
in los angeles calif :5
in jan 27 apollo :5
in jan 27 1967 :5
in jackass flats nev :5
in good physical condition :5
in front of the :5
in flight had reached :5
in flight at edwards :5
in f y 1964 :5
in essaâ€™s tiros operational :5
in each of the :5
in doubt from the :5
in cooperation with nasa :5
in college park md :5
in charge of the :5
in beverly hills calif :5
in answer to question :5
in an address to :5
in aeronautics and astronautics :5
in advance of the :5
in addition to its :5
in addi tion to :5
in a white house :5
in a state of :5
in a series to :5
in a few hours :5
in 1970 and 1971 :5
important role in the :5
impacted in atlantic ocean :5
if we are going :5
if all went well :5
identical to that of :5
icbm fired from vandenberg :5
i1 sounding rocket launched :5
i think we can :5
i s a 4 :5
i launched march 7 :5
i grissom and john :5
i feel it is :5
i earth resources technology :5
hundreds of millions of :5
human beings into space :5
hughes aircraft co under :5
hughes aircraft co to :5
hughes aircraft co had :5
hr 17548 fy 1971 :5
hr 11271 fy 1970 :5
house select committee on :5
house passed by vote :5
house committee on appropriations :5
house adopted conference report :5
hours in flight had :5
history of rocket technology :5
history nasa sp 4202 :5
historical sketch of nasa :5
historians and historical monitors :5
his new position dr :5
hinners associate administrator for :5
hill space transportation award :5
high energy astronomy ob :5
held at marshall space :5
heart attack at age :5
health education and wel :5
headed by dr charles :5
he would succeed dr :5
he was cited for :5
he stated that the :5
he had received the :5
he had joined the :5
he had been acting :5
he did not think :5
he did not believe :5
have succeededor at least :5
have not been able :5
have been in the :5
has been added for :5
has been able to :5
harold masursky of us :5
harold b finger manager :5
had taken more than :5
had successfully tested the :5
had signed a contract :5
had served in the :5
had served as a :5
had said it would :5
had revealed that the :5
had reentered the atmosphere :5
had proved to be :5
had proved capability of :5
had decided not to :5
had caused loss of :5
had begun his career :5
had been with nasa :5
had been used successfully :5
had been undergoing tests :5
had been subjected to :5
had been shut down :5
had been serving as :5
had been selected from :5
had been requested by :5
had been prompted by :5
had been planned to :5
had been launched into :5
had been intended for :5
had been in orbit :5
had been found by :5
had been fitted with :5
had been exposed to :5
had been established by :5
had been developed under :5
had been developed in :5
had been developed at :5
had been demonstrated by :5
had been conducted march :5
had been completed for :5
had been completed by :5
had been chairman of :5
had been built for :5
had been added to :5
had been adapted to :5
had been achieved and :5
h debus ksc director :5
h allen smith jet :5
guidance and navigation system :5
gsfcinstrumented grenade payload to :5
gsfc was responsible for :5
gsfc ssr 43071 sbd :5
gsfc ssr 103173 sbd :5
gsfc and univ of :5
grumman aerospace corp had :5
grumman aerospace corp for :5
grumman aerospace corp and :5
group achievement award was :5
ground stations would be :5
ground stations for the :5
gram was managed by :5
government printing office washington :5
good photographic coverage was :5
good data were expected :5
goldstone tracking station in :5
going to be able :5
going to be a :5
global satellite communications system :5
global communications satellite network :5
global communications inc and :5
glennan first nasa administrator :5
glenn col john h :5
george m low who :5
george e mueller associate :5
geophysics corp of america :5
general winton m blount :5
general thomas d white :5
general of the international :5
general electric co was :5
general electric co announced :5
general dynamics corp was :5
general curtis e lemay :5
gen don r ostrander :5
gemini agena target vehicle :5
gast chief of msc :5
garriott and jack r :5
gamma rays and cosmic :5
fy 1974 dept of :5
fy 1973 dept of :5
fy 1972 appropriations bill :5
fy 1971 nasa authorization :5
fy 1970 budget request :5
fy 1969 budget request :5
fy 1968 authorization bill :5
fy 1967 independent offices :5
funded by nasa and :5
functioned satisfactorily and payload :5
from wsmr carrying univ :5
from wsmr carried dudley :5
from wsmr car ried :5
from wallops station in :5
from wallops flight center :5
from vandenberg afb using :5
from time to time :5
from the top of :5
from the sun to :5
from the standpoint of :5
from the solar system :5
from the planetâ€™s surface :5
from the european space :5
from poker flat rocket :5
from open public sources :5
from ocean of storms :5
from nasa and the :5
from lockheed aircraft corp :5
from kiruna sweden carried :5
from fort churchill canada :5
from etr by threestage :5
from eglin afb fla :5
from each of the :5
from cape canaveral at :5
from baykonur cos modrome :5
from baikonur into orbit :5
from around the world :5
from ames research center :5
from a group of :5
from a distance of :5
frederick seitz president of :5
frank g brewer trophy :5
frank borman and james :5
france west germany italy :5
fractional orbital bombardment system :5
fourstage scout launch vehicle :5
four barium clouds were :5
former nasa administrator james :5
former director of the :5
former astronaut michael collins :5
force satellite control facility :5
force launched an unidentified :5
force for research and :5
for which it was :5
for use in future :5
for use in a :5
for use by the :5
for two oneyear extensions :5
for time in space :5
for their contributions to :5
for the us supersonic :5
for the second quarter :5
for the saturn ib :5
for the peaceful uses :5
for the past two :5
for the national space :5
for the most part :5
for the launch vehicle :5
for the large space :5
for the first three :5
for the dept of :5
for the conduct of :5
for the communications satellite :5
for space studies cnes :5
for short takeoff and :5
for science and tech :5
for saturn launch vehicle :5
for rendezvous and docking :5
for re search and :5
for projects gemini and :5
for payloads where vehicle :5
for nasa manned spacecraft :5
for most of the :5
for manned orbiting laboratory :5
for launch on the :5
for launch in march :5
for himself and rep :5
for future manned space :5
for first time at :5
for first time and :5
for education and science :5
for distinguished achievement in :5
for design and fabrication :5
for dept of defense :5
for damage caused by :5
for construc tion of :5
for comsatcorp on behalf :5
for competitive negotiations leading :5
for civilian and military :5
for authority to construct :5
for as many as :5
for apollo applications aa :5
for a wide variety :5
for 1972 and 1973 :5
floyd l thompson director :5
flown from edwards afb :5
flown by pilot john :5
flights that have succeededor :5
flight research center in :5
flight of the year :5
flight of the x15 :5
flight objectives were to :5
flight from ed wards :5
flight envelope to higher :5
flight down atlantic missile :5
flight center msfc announced :5
flight center had issued :5
flight around the world :5
first use of a :5
first us attempt to :5
first time in a :5
first stage of saturn :5
first quarter of 1969 :5
first public demonstration of :5
first of series of :5
first of its kind :5
first man on the :5
first flight model of :5
first entered orbit with :5
first decade of the :5
first 10 min and :5
financed managed and operated :5
fields of science and :5
federation of government employees :5
federal funds for research :5
fcc for permission to :5
far side of sun :5
fact of the matter :5
f15 air superiority fighter :5
f y 1964 budget :5
f m rees msfc :5
f hornig director of :5
f eisele and r :5
extend the data base :5
exploration of space 19151960 :5
exploration and peaceful uses :5
experiments would be conducted :5
experiment to study atmospheric :5
experiment to measure electron :5
experiment to collect data :5
experi ment to a :5
expected to remain in :5
expected to reach venus :5
expected to cost about :5
expected to be operational :5
executive director of the :5
exchange of information on :5
exceptional service medal in :5
ex pected to be :5
events of 1961 published :5
evaluate stability and control :5
european space research orga :5
european space research and :5
essa financed managed and :5
equipment would be used :5
equipment was functioning nor :5
equal employment opportunity program :5
environmental science services administration :5
entire nasa historical staff :5
entered parking orbit with :5
entered orbit with 1469km :5
engle and richard truly :5
end of world war :5
end of the first :5
end of the apollo :5
en tered orbit with :5
employees at marshall space :5
elsewhere in the solar :5
elliptical orbit with a :5
ellington air force base :5
elements of the space :5
electron i and electron :5
electrical and electronics engineers :5
electric co would receive :5
electric co had been :5
ejected and exploded as :5
ejected and detonated at :5
either side of the :5
eisele and r walter :5
einsteinâ€™s theory of relativity :5
einsteinâ€™s general theory of :5
effects of space environment :5
effects of prolonged weightlessness :5
effective perceived noise in :5
edwin p hartman adventures :5
edward j gurney rfla :5
editorials commented on the :5
editorials commented on apollo :5
earth resources monitoring satellite :5
earth orbit by ussr :5
earth and had traveled :5
early bird i communications :5
dryden hugh l memorial :5
drogue and main parachutes :5
dr winston e kock :5
dr william d mcelroy :5
dr thomas l k :5
dr roy e cameron :5
dr robert frosch nasa :5
dr robert b leighton :5
dr richard t whitcomb :5
dr richard l lesher :5
dr philip h abelson :5
dr norman f ness :5
dr lloyd v berkner :5
dr leon t silver :5
dr joseph v charyk :5
dr gerald j wasserburg :5
dr cyril a ponnamperuma :5
dr charles berry chief :5
dr brian t oâ€™leary :5
dr bradford a smith :5
dr abe silverstein director :5
down pacific missile range :5
douglas aircraft co and :5
douglas aircraft co a :5
doubt from the project :5
donald l mallick and :5
donald k slayton and :5
donald f hornig director :5
domestic communications satellite system :5
dodâ€™s advanced research projects :5
dod was responsible for :5
dod spokesman jerry w :5
docked with the station :5
div for negotiation of :5
district court in washington :5
distribution in the upper :5
distribution and performance data :5
distinguished service medal from :5
discussed in science by :5
director of the white :5
director of the space :5
director of the center :5
director of technology utilization :5
director of physics and :5
director of flight research :5
director of engineering and :5
director of advanced research :5
director mg samuel c :5
director for science and :5
director for flight operations :5
director for flight crew :5
director edgar m cortright :5
director and chief scientist :5
directions at various altitudes :5
dioxide and water vapor :5
dinner in new york :5
died of heart attack :5
died in washington dc :5
died in moscow at :5
development station jackass flats :5
development of space technology :5
development fabrication and testing :5
development and test of :5
developed by nasa for :5
developed by hughes aircraft :5
detection and tracking system :5
designed to provide more :5
designed for use with :5
design fabricate and test :5
described in new york :5
deputy director of life :5
deputy director christopher c :5
deputy associate ad ministrator :5
deputy asso ciate administrator :5
deputy administrator willis h :5
deputy administrator for supersonic :5
dept of defense would :5
dept of agriculture and :5
density of the atmosphere :5
demonstrate the feasibility of :5
delivery positions for us :5
delivery of the first :5
deep space facilities goldstone :5
decision was based on :5
decade of space exploration :5
dc meeting of the :5
days in advance with :5
date marks dates of :5
data would be analyzed :5
data were obtained during :5
data were ob tained :5
data received from the :5
data on us flights :5
data indicated that the :5
data indicated that all :5
data at mach 11 :5
data acquisition gerald m :5
