total weight :2627
fayload data :7
failure review :7
failure nasa :7
facility msfc :7
faa deputy :7
faa awarded :7
f garbarini :7
f dixon :7
f bikle :7
extreme heat :7
extensive test :7
explosive bolts :7
exploring space :7
explorer xxxviii :7
explorer xxxii :7
explorer xviii :7
explorer xvii :7
explorer xlii :7
explorer missions :7
explorer ice :7
explorer 53 :7
explorer 49 :7
explorer 46 :7
explored lunar :7
explore mars :7
exploration beyond :7
experiments operating :7
experiments except :7
experimental weather :7
experimental short :7
experimental reactor :7
experimental assembly :7
experiment successful :7
experiment released :7
experiment equipment :7
experiment capsule :7
experiment called :7
experiment aboard :7
exchange agreement :7
excellent results :7
evening post :7
european nuclear :7
european airbus :7
european aerospace :7
etr june :7
etb s :7
estimated total :7
essa vi :7
essa ix :7
essa announced :7
esro satellite :7
escape tower :7
equipment transporter :7
equipment included :7
equipment aboard :7
equator south :7
environmentally acceptable :7
environmental testing :7
environmental studies :7
entire nation :7
entire mission :7
entire lunar :7
enter commercial :7
ensure proper :7
english sept :7
english aug :7
engineers working :7
engineering studies :7
engineering problems :7
engineer ing :7
engine shut :7
engine research :7
engine contract :7
energy commissions :7
enemy radar :7
emergency procedures :7
elliptical parking :7
elementary particles :7
electrostatic probe :7
electrostatic analyzer :7
electronic reconnaissance :7
electronic ferret :7
electronic collar :7
electron flux :7
electron beam :7
electrical wiring :7
electrical properties :7
electrical charge :7
electric forum :7
elected president :7
ejection seats :7
eightday mission :7
eight weeks :7
effective aug :7
edwin c :7
edwin aldrin :7
editorial noted :7
economically feasible :7
eberhardt rechtin :7
eastern shore :7
eastern europe :7
earths weather :7
earths shadow :7
earths heat :7
earthbased observations :7
earth telescopes :7
earth radii :7
earth problems :7
earth mars :7
eagle ii :7
e regions :7
e c :7
dynamics release :7
duration exposure :7
dryden deputy :7
dry lakebed :7
dry ice :7
drug administration :7
drifting westward :7
dr wilmot :7
dr smith :7
dr seaborg :7
dr oliver :7
dr nicholas :7
dr nancy :7
dr maxime :7
dr mary :7
dr konecci :7
dr joshua :7
dr gold :7
dr gerhard :7
dr gene :7
dr frosch :7
dr freeman :7
dr duane :7
dr andrew :7
donald williams :7
dom svc :7
dod payloads :7
documentation inc :7
docking mechanism :7
docked successfully :7
dobrovolsky vladislav :7
dle baykonur :7
div received :7
discussed future :7
director technical :7
director robert :7
director george :7
director chester :7
director charles :7
direction eg :7
direct communications :7
direct broadcast :7
direct ascent :7
digital computers :7
difficult problems :7
diameter covered :7
dfrc reported :7
device developed :7
device designed :7
development projects :7
development project :7
development plan :7
development manufacture :7
development funding :7
develop test :7
detudes et :7
determine effect :7
detailed observations :7
desired orbit :7
design criteria :7
description carried :7
described plans :7
des moines :7
deployable solar :7
denied reports :7
denberg afb :7
demonstrate performance :7
delay caused :7
definition study :7
defense programs :7
deep submergence :7
decompression chamber :7
decided whether :7
december 719 :7
december 1984 :7
december 1981 :7
december 1971 :7
december 1968 :7
december 1963 :7
december 1961 :7
de atividades :7
dc meeting :7
date international :7
data throughout :7
data gathering :7
dark areas :7
daniel brandenstein :7
dana completed :7
dan schneiderman :7
d saegesser :7
d putnam :7
d morozov :7
d hodge :7
d browne :7
c—5a aircraft :7
cylinder 2m :7
cuba mongolia :7
csfc ssr :7
crew station :7
crew spent :7
crew safety :7
crew left :7
crew completed :7
creston whiting :7
created position :7
crater tycho :7
course correction :7
council src :7
cosmos clxxxvi :7
cosmos 1686 :7
cosmonauts pavel :7
cosmonaut valentina :7
cosmicray particles :7
cosmic xrays :7
cosmic radio :7
cosmic particles :7
cos space :7
corresponding member :7
corrective actions :7
correction required :7
corpus christi :7
corps wasatch :7
corps pratt :7
corp successfully :7
corp nasa :7
corollary experiments :7
core vehicle :7
copley news :7
cooperative venture :7
cooperative agreements :7
convair division :7
control gas :7
control commands :7
contribute significantly :7
contractors inc :7
contract signed :7
contract employees :7
continental drift :7
contains basic :7
construction projects :7
conical midcourse :7
congressional office :7
congress president :7
conducted scientific :7
conduct joint :7
conduct further :7
con gress :7
con ducted :7
computer simulations :7
complete engine :7
complete data :7
communications using :7
communications organization :7
communications minister :7
communications meteorology :7
communications companies :7
communications channels :7
communications antennas :7
communication sessions :7
common stock :7
committee voted :7
committee concluded :7
committee announced :7
committee agreed :7
commercial ventures :7
commercial firms :7
commercial airline :7
commerce department :7
commander thomas :7
commander karol :7
commander charles :7
combustion ramjet :7
combustion engine :7
collins radio :7
collect micrometeoroids :7
col william :7
col usmc :7
col michael :7
co ltd :7
co engineers :7
cm wide :7
closer together :7
closely resembled :7
closed circuit :7
close range :7
close look :7
close cooperation :7
claude s :7
clarksburg md :7
clark reported :7
clarity nyt :7
circuits plus :7
circling earth :7
churchill manitoba :7
christmas eve :7
chinese satellite :7
chinese nuclear :7
china prc :7
china peoples :7
china lake :7
chico calif :7
chemical reaction :7
chemical cloud :7
chemical analyses :7
channels simultaneously :7
chancellor ludwig :7
chairman sen :7
cerro tololo :7
central radio :7
center using :7
center personnel :7
center msc :7
center estec :7
center esoc :7
center esmc :7
center dr :7
center development :7
centaur vehicle :7
centaur engines :7
cen ter :7
celestial body :7
ceased functioning :7
catholic univ :7
carried pickaback :7
carried eight :7
carried 12 :7
carl t :7
cargo craft :7
cargo carrier :7
capt edward :7
capacity mapping :7
cannon dnev :7
canadian defence :7
canadian alouette :7
canada france :7
called project :7
calibration satellite :7
c usaf :7
c stark :7
c smith :7
c o :7
c marshall :7
budget level :7
bruce murray :7
brown univ :7
british science :7
british prototype :7
brian t :7
brayton cycle :7
boris yegorov :7
boris b :7
booster engines :7
boom tests :7
board nasas :7
blue ribbon :7
block ii :7
black arrow :7
biomedical data :7
biological specimens :7
biological sciences :7
biological samples :7
billion total :7
billion space :7
billion proposed :7
billion electron :7
billion dod :7
billion bits :7
bill nelson :7
beyond apollo :7
beta thor :7
bellshaped spacecraft :7
beijing xinhua :7
begun working :7
beginning july :7
beginning jan :7
begin production :7
begin immediately :7
became special :7
became pl :7
became apparent :7
battelle memorial :7
basic technology :7
baseline interferometry :7
base tex :7
base california :7
b58 hustler :7
b52 mother :7
b usaf :7
b thor :7
b major :7
b amr :7
awarded martin :7
award brought :7
aviation subcommittee :7
aviation research :7
aviation community :7
automatic interplanetary :7
automatic devices :7
automatic data :7
august 1982 :7
august 1979 :7
august 1967 :7
august 1964 :7
aug 1678 :7
auburn univ :7
attitude stabilization :7
ats iv :7
atomic nuclei :7
atmospheric science :7
atmospheric entry :7
atm solar :7
atlasagena launch :7
atlantic coast :7
atividades espaciais :7
athena missile :7
astrophysics experiment :7
astronomy solar :7
astronauts left :7
astronauts guidance :7
astronauts died :7
astronauts borman :7
astronautics coordinating :7
astronautics announced :7
astronaut fred :7
astronaut dr :7
astronaut alfred :7
astroelectronics div :7
astrobee f :7
astrobee d :7
astrobee 1500 :7
assn reported :7
assistant vice :7
assistant professor :7
assistant directors :7
ask congress :7
arthur g :7
army ordnance :7
army navy :7
ariane launcher :7
argo d—4 :7
arenosillo spain :7
areas launched :7
arctic ocean :7
apt stations :7
april april :7
april 1979 :7
april 1976 :7
april 1969 :7
april 1965 :7
april 1964 :7
april 1117 :7
apr cosmos :7
apr 2685 :7
apr 24 :7
apr 20 :7
approximately 150 :7
approved space :7
applications rocket :7
applications including :7
apollo spacecrafts :7
apollo soyuz :7
apollo orbital :7
apollo csm :7
apogee 201km :7
apogee 198km :7
ap ny :7
ap csm :7
antigua west :7
anthony calio :7
answer questions :7
annual volume :7
annual growth :7
announced routine :7
announced retirement :7
announced earlier :7
announced aug :7
announced astronaut :7
anno dec :7
andrew j :7
andoya norway :7
anderson d—n :7
anderson dnm :7
american spacecraft :7
american ordnance :7
american nuclear :7
american medical :7
american aerospace :7
amelia earhart :7
amchitka island :7
alto calif :7
altitude west :7
altitude above :7
already spent :7
already demonstrated :7
alphascattering instrument :7
allow astronauts :7
allen hynek :7
allen fairhall :7
albert thomas :7
albert c :7
al march :7
al december :7
al a8 :7
airport traffic :7
airline passengers :7
airline passenger :7
airfoil shape :7
airesearch manufacturing :7
aircraft systems :7
aircraft completed :7
aircraft carrying :7
air temperature :7
air support :7
air routes :7
air products :7
air freight :7
air data :7
agriculture forestry :7
agreement formally :7
agreement covering :7
agency darpa :7
agencies including :7
agena rocket :7
afb using :7
aerospace test :7
aerospace plane :7
aerospace operations :7
aerospace engineers :7
aeronautics space :7
aeronautics 1904 :7
aeronautical sciences :7
aeronautical chart :7
aerodynamic heating :7
aerobee rocket :7
aero space :7
aero propulsion :7
aerial photography :7
adversely affected :7
adversely affect :7
adverse effects :7
advanced technologies :7
advanced technological :7
advanced satellite :7
advanced defense :7
advanced composite :7
advance notice :7
adopted resolution :7
administration meteorological :7
administration erda :7
additional satellites :7
additional funding :7
adaptive wing :7
adapter mda :7
ad nov :7
activities report :7
activities included :7
activities 15 :7
active regions :7
active magnetospheric :7
acting capacity :7
acquiring data :7
acquired data :7
accurate information :7
academic institutions :7
aboard spacecraft :7
aboard skylab :7
abelson dr :7
a3 august :7
a2 july :7
97 min :7
945min period :7
92min period :7
919min period :7
900 km :7
90 km :7
897 min :7
883min period :7
829 probable :7
800 lbs :7
800 ft :7
76 million :7
76 a— :7
76 26 :7
750 kg :7
75 a3 :7
75 16 :7
740 cosmos :7
74 million :7
727 aircraft :7
72 hrs :7
72 84 :7
719 1972 :7
70 astronautics :7
70 000 :7
68 astronautics :7
67 million :7
66 astronautics :7
65 reentered :7
6000 ft :7
600 pm :7
600 ft :7
60 astronautics :7
550 mph :7
51 billion :7
48 min :7
47 min :7
454 kg :7
45000 ft :7
450 million :7
43 min :7
43 kg :7
42 billion :7
410 astronautics :7
41 min :7
406 astronautics :7
40000 ft :7
400 km :7
40 yrs :7
40 lbs :7
40 feet :7
40 000ft :7
3unit spacecraft :7
3rd orbit :7
3man crew :7
39 february :7
386 astronautics :7
38 million :7
38 billion :7
360 astronautics :7
354200 ft :7
3511 mph :7
350 sounding :7
350 000 :7
35 mi :7
35 february :7
348 astronautics :7
340 million :7
34 000 :7
325 million :7
316 astronautics :7
312 astronautics :7
310 astronautics :7
31 grenades :7
31 1962 :7
31 1958 :7
30000 ft :7
3000 ft :7
300 pm :7
30 1969 :7
30 1966 :7
30 1965 :7
30 1964 :7
296 astronautics :7
29 ussr :7
29 min :7
288 astronautics :7
282 astronautics :7
280 million :7
28 launch :7
28 aug :7
28 1969 :7
270km 1678mi :7
27 usaf :7
27 january :7
268 astronautics :7
26 usaf :7
26 november :7
26 mar :7
26 jan :7
255 pm :7
250 mph :7
25 yrs :7
25 minutes :7
25 january :7
25 february :7
25 feb :7
24hr period :7
246 astronautics :7
242 astronautics :7
24 dod :7
24 1967 :7
24 000 :7
236 astronautics :7
23 dr :7
23 000 :7
224 225 :7
22 ussr :7
22 transmitting :7
22 skylab :7
22 300mi :7
22 1972 :7
22 1969 :7
212 astronautics :7
21 m :7
21 1964 :7
208 astronautics :7
206km 128mi :7
206 astronautics :7
205 million :7
204 astronautics :7
200 m :7
200 ft :7
20 miles :7
20 mi :7
20 march :7
20 dr :7
20 april :7
1st stages :7
1980 nasa :7
1978 january :7
1977 june :7
1977 july :7
1977 january :7
1977 april :7
1976 february :7
1975 september :7
1975 august :7
1973 february :7
1973 encounter :7
1973 dept :7
1972 september :7
1970 gsfc :7
1969 april :7
1968 june :7
1968 july :7
1968 january :7
1967 november :7
1967 june :7
1967 february :7
1967 april :7
1966 essa :7
1964 july :7
1964 april :7
190 million :7
19 usaf :7
19 launch :7
19 january :7
18sided hatboxshaped :7
1800 kg :7
18 sept :7
18 receiving :7
18 mar :7
18 feb :7
17nation disarmament :7
17548 fy :7
170 astronautics :7
17 spacecraft :7
17 oct :7
17 missions :7
17 lunar :7
17 january :7
17 dod :7
17 crew :7
17 aug :7
17 1971 :7
17 1966 :7
16th annual :7
168 million :7
16 mi :7
16 hrs :7
16 dec :7
15—24 july :7
158 astronautics :7
150 lbs :7
15 usaf :7
15 spacecraft :7
15 president :7
15 lm :7
15 hr :7
15 1972 :7
15 17 :7
14day mission :7
1400 mph :7
14 usaf :7
14 spacecraft :7
14 nasas :7
14 march :7
14 m :7
14 jan :7
14 crew :7
14 april :7
14 1969 :7
14 1967 :7
14 15 :7
130 mi :7
13 ft :7
128mi perigee :7
1243mi perigee :7
1200 mi :7
120 mi :7
12 transponders :7
12 samples :7
12 president :7
12 mos :7
12 launch :7
12 gsfc :7
12 february :7
12 15 :7
118 million :7
114 mi :7
114 astronautics :7
11 upi :7
11 sept :7
11 sec :7
11 dod :7
11 dec :7
11 apollo :7
10yr period :7
1000 pm :7
100 yrs :7
100 successful :7
100 persons :7
000 yrs :7
000 yr :7
000 grant :7
000 firmfixedprice :7
—satellite launched :6
£ h :6
zond ill :6
yoyo despin :6
york worlds :6
york herald :6
york dr :6
york chicago :6
yet approved :6
x—24a liftingbody :6
x—15 research :6
xray telescopes :6
xray star :6
xray satellite :6
xray gammaray :6
xray detector :6
xii mission :6
xb70a research :6
xb70 aircraft :6
x15 research :6
x15 flown :6
x spacecraft :6
x o :6
x 30 :6
x 27 :6
wsmc s :6
wright patterson :6
wright flyer :6
wpost sept :6
wpost feb :6
wpost dec :6
worldwide satellite :6
worldwide military :6
worlds oceans :6
working properly :6
working conditions :6
woomera range :6
womens award :6
wk 82266 :6
wk 72064 :6
wk 103166 :6
wk 102466 :6
wishful thinking :6
wire services :6
winton m :6
wintertime westerly :6
winters b :6
wing surface :6
wing shape :6
wind measurements :6
williamsburg va :6
william graham :6
wilford reported :6
welsh nasc :6
weight 750 :6
weight 600 :6
weight 5500 :6
weight 1800 :6
weicker jr :6
weather radar :6
weather bureaus :6
weather analysis :6
weapons research :6
wbe sci :6
watson balt :6
watch apollo :6
waste disposal :6
washing ton :6
wash post :6
walter orr :6
walter b :6
wake vortices :6
wage dispute :6
vstol research :6
voyager mission :6
voyager mars :6
voyager 7s :6
vought corp :6
vostok hi :6
vlf radio :6
visual flight :6
visitor center :6
viking scientists :6
view calif :6
viet nam :6
vienna austria :6
vi spacecraft :6
vertical stabilizer :6
vertical profiles :6
vertical distribution :6
verify performance :6
venus flyby :6
ventral fin :6
velocity package :6
vela satellites :6
vehicle project :6
vehicle malfunctioned :6
vehicle llrv :6
vehicle fayload :6
vehicle failure :6
vast sums :6
various locations :6
various kinds :6
various flight :6
variable sweep :6
van nuys :6
valley authority :6
valery kubasov :6
valentina v :6
vacuum cleaner :6
v workshop :6
v wk :6
v v :6
v tereshkova :6
v m :6
v lindsay :6
uv spectra :6
utility companies :6
ussrs zond :6
ussrs tu144 :6
ussrs space :6
ussrs cosmos :6
ussr spacecraft :6
ussr research :6
ussr icbm :6
ussr 27 :6
ussr 1961 :6
using thoragena :6
using rockets :6
using onboard :6
using lunar :6
using existing :6
using ats :6
user community :6
usaf xb70 :6
usaf spokesman :6
usable data :6
urban mass :6
upper layers :6
upi ntt :6
unpowered landing :6
unmanned launches :6
university community :6
unique items :6
union release :6
unified space :6
unidentified usaf :6
unidentified reconnaissance :6
unforeseen problems :6
unemployment rate :6
undergoing final :6
unavailable description :6
un manned :6
ultraviolet xray :6
ultraviolet spectra :6
ultraviolet range :6
twostage rocket :6
twin stars :6
tv traffic :6
tv systems :6
tv stations :6
tv series :6
tv communication :6
turbulence cat :6
turboprop engines :6
tulsa okla :6
tu144 soviet :6
tropical storms :6
triphosphate atp :6
trapped radiation :6
transporter bus :6
transportation dot :6
transportation award :6
transport systems :6
transport service :6
transonic speeds :6
transmitting signals :6
transmitting scientific :6
transmitter receiver :6
transmission via :6
translunar insertion :6
transit satellite :6
transit navigational :6
transcript vol :6
training grants :6
tracking techniques :6
tracking beacon :6
tracking antenna :6
tracked aircushion :6
tracer explorers :6
towed aloft :6
totals dod :6
total spacecraft :6
total request :6
total funding :6
total eva :6
total eclipse :6
total authorization :6
total aerospace :6
top secret :6
told missiles :6
tokyo japan :6
titanium dioxide :6
titan n :6
titan iii—b :6
titan iiiecentaur :6
titan booster :6
tiros vii :6
tiros satellite :6
times stronger :6
times editorialized :6
ticker tape :6
thunderstorm research :6
thrustaugmented longtank :6
throughout canada :6
threestage thordelta :6
threestage saturn :6
threestage delta :6
thousand miles :6
thousand feet :6
thoragena vehicle :6
thoragena total :6
thoradagena total :6
thorable star :6
thor able :6
thomas r :6
thomas b :6
third stages :6
third rocket :6
third crew :6
thiokols wasatch :6
thin layer :6
thermoelectric outer :6
text transcript :6
text november :6
tests simulating :6
tests indicated :6
tests included :6
testimony transcript :6
test unit :6
test tower :6
test techniques :6
test section :6
test run :6
test reactor :6
test programs :6
test laboratory :6
test fired :6
test engineers :6
test engine :6
test conditions :6
test complex :6
test advanced :6
terrestrial rocks :6
terrestrial division :6
ten outstanding :6
temporary restraining :6
temporary injunction :6
temperatures above :6
temperature sensors :6
temperature profiles :6
temperature extremes :6
temperature change :6
television broadcast :6
telescope project :6
telephone tv :6
telemetry received :6
telemetered data :6
teledyne brown :6
telecommunications policy :6
tel aviv :6
tecnica aeroespacial :6
technology presidents :6
technology oart :6
technology integration :6
technology conference :6
technology announced :6
technological superiority :6
technological innovation :6
technical subcommittee :6
technical societies :6
technical programs :6
technical community :6
technical capability :6
technical achievements :6
tech reported :6
tech niques :6
tech astronomer :6
team reported :6
team effort :6
teague d—tex :6
tass izvestia :6
target dates :6
tallahassee fla :6
t r :6
t minus :6
t j :6
systems technology :6
systems operating :6
systems manager :6
systems management :6
systems magnetic :6
systems functioning :6
systems afsc :6
systems abres :6
sys tem :6
syncom satellite :6
synchronousorbit communications :6
synchronous position :6
synchronous altitude :6
symington dmo :6
sweden carried :6
surveyor series :6
surveyor lander :6
survey showed :6
survey module :6
surveillance satellites :6
surface structure :6
surface nasa :6
surface exploration :6
surface data :6
surface covered :6
surface conditions :6
surface characteristics :6
supporting ground :6
supersonic fighter :6
supersonic cruise :6
superior performance :6
suit filed :6
successfully transposed :6
successfully landed :6
successfully flew :6
successful unmanned :6
successful saturn :6
successful performance :6
successful launching :6
subsidiary comsat :6
suborbital trajectory :6
submarine uss :6
study recommended :6
study phase :6
study magnetic :6
study interplanetary :6
study included :6
study comet :6
studies cnes :6
structure satellite :6
structural weight :6
structural strength :6
structural dynamics :6
structural damage :6
stratospheric aerosol :6
strategic rocket :6
straightline distance :6
straight successful :6
straight success :6
straight line :6
straight course :6
stock exchange :6
stepping stone :6
stellar ultraviolet :6
stations nasa :6
stations equipped :6
stationkeeping propulsion :6
station development :6
station description :6
static tests :6
statement following :6
star tracking :6
star 21 :6
stanley r :6
standard launch :6
standard atmosphere :6
stage rocket :6
stage impacted :6
stage fired :6
sst engine :6
sst design :6
ssr 63073 :6
ssr 53171 :6
ssr 33169 :6
srl september :6
srl october :6
sr71 reconnaissance :6
spring 1972 :6
spinscan radiometer :6
spincontrol systems :6
speed brakes :6
spectral range :6
specific mission :6
specialist dr :6
special studies :6
special space :6
special message :6
special materials :6
spatial distribution :6
spark plug :6
span solar :6
spain sweden :6
spaco inc :6
spaceprocessing applications :6
spacelab scheduled :6
spaceflight magazine :6
spacecrafts radio :6
spacecraft weight :6
spacecraft weighed :6
spacecraft velocity :6
spacecraft testing :6
spacecraft test :6
spacecraft sterilization :6
spacecraft possibly :6
spacecraft orientation :6
spacecraft orbiting :6
spacecraft office :6
spacecraft lunar :6
spacecraft indicated :6
spacecraft debris :6
spacecraft data :6
spacecraft cosmos :6
space weather :6
space vacuum :6
space upi :6
space techniques :6
space simulator :6
space services :6
space satellite :6
space rocket :6
space programme :6
space pioneer :6
space official :6
space observers :6
space near :6
space knowledge :6
space installations :6
space history :6
space hall :6
space goal :6
space field :6
space facility :6
space exploits :6
space exhibit :6
space events :6
space employment :6
space docking :6
space complex :6
space budgets :6
space ap :6
space affairs :6
sp4302 1970 :6
sp4202 1970 :6
sp4101 1966 :6
soyuz t9 :6
soyuz t2 :6
soyuz t13 :6
soyuz mission :6
soyuz crew :6
soyuz 23 :6
soviets launched :6
sovietamerican cooperation :6
soviet venus :6
soviet sources :6
soviet proposal :6
soviet plans :6
soviet minister :6
soviet medical :6
soviet flights :6
soviet efforts :6
soviet development :6
soviet counterparts :6
soviet communications :6
soviet aviation :6
soviet astp :6
soviet army :6
soviet announcement :6
south poles :6
south american :6
sources revealed :6
sounding technique :6
solidfuel boosters :6
solid upper :6
solid surface :6
solid rock :6
solid carbon :6
solarelectric propulsion :6
solarcell panels :6
solar telescopes :6
solar spectrum :6
solar pressure :6
solar cosmic :6
society held :6
socialist labor :6
snap 10a :6
smith jet :6
slow rotation :6
sloop john :6
sloan foundation :6
skynet iia :6
skylab nasa :6
skylab experiments :6
skylab 1—2 :6
skylab 12 :6
skilled workers :6
sixth flight :6
sixmonth test :6
sixman crew :6
six flights :6
six additional :6
sir william :6
sioux falls :6
single spacecraft :6
single contractor :6
simultaneous observations :6
simulated liftoff :6
simulated landing :6
simulated flight :6
similar test :6
similar measurements :6
similar data :6
sim bay :6
silverzinc battery :6
sile range :6
significant reductions :6
signed contract :6
signal corps :6
sidestick controller :6
shuttle spacelab :6
shuttle sortie :6
shuttle scheduled :6
shuttle nasa :6
shuttle management :6
shuttle design :6
shuttle contract :6
shuttle became :6
shortwave radio :6
shorthaul research :6
short notice :6
short distance :6
sheet metal :6
sheehan nyt :6
sharp drop :6
severe storm :6
services provided :6
services nasa :6
services including :6
service via :6
service reports :6
serious consideration :6
series conducted :6
serf ii :6
sequential collation :6
september dr :6
september 1981 :6
september 1972 :6
september 1965 :6
sept 77 :6
sept 2278 :6
sept 1978 :6
sept 1974 :6
separation lm :6
separate contract :6
sensor technology :6
senior scientist :6
senior nasa :6
senate version :6
senate unanimously :6
senate committees :6
sen ralph :6
semiconductor crystals :6
selection process :6
selected lockheed :6
selected boeing :6
seismometer left :6
seismic events :6
seems likely :6
seems clear :6
secret military :6
secondstage ignition :6
seasonal changes :6
scout vehicles :6
scientists throughout :6
scientists met :6
scientists aboard :6
scientist reported :6
scientist prof :6
scientific technological :6
scientific technical :6
scientific survey :6
scientific policy :6
scientific personnel :6
scientific observation :6
scientific literature :6
scientific groups :6
scientific engineering :6
scientific delegation :6
scientific activity :6
sciencesnational research :6
sciences research :6
science report :6
science minister :6
science experiment :6
sci tech :6
schwartz nyt :6
schneider announced :6
schlesinger secretary :6
schirra capt :6
scanningbeam landing :6
saturn uranus :6
saturn sivb :6
saturn sa5 :6
saturn boosters :6
satisfactory nasa :6
satisfactorily except :6
satellites solar :6
satellites placed :6
satellite weighing :6
satellite television :6
satellite successfully :6
satellite sputnik :6
satellite sas :6
satellite provided :6
satellite projects :6
satellite performance :6
satellite passed :6
satellite ots :6
satellite orbiting :6
satellite operated :6
satellite navigation :6
satellite mission :6
satellite links :6
satellite known :6
satellite echo :6
satellite company :6
satellite carries :6
satellite capacity :6
satellite capability :6
satellite called :6
satcom ku2 :6
santa barbara :6
sands mis :6
sandia laboratories :6
samples showed :6
samos satellite :6
salyut station :6
safety standards :6
safety reliability :6
s3 o :6
s swenson :6
s petersen :6
s mcgovern :6
s fourth :6
s draper :6
s crew :6
s brown :6
s boyd :6
s aug :6
russian scientists :6
russian cosmonaut :6
royal norwegian :6
royal astronomical :6
routine flight :6
round trips :6
roswell n :6
rosenthal venture :6
ronald j :6
rome air :6
roll control :6
rockets fired :6
rockets balloons :6
rocket spar :6
rocket programs :6
rocket nozzle :6
rocket network :6
rocket experts :6
rocket configuration :6
rocket attained :6
robert stewart :6
robert parker :6
rising costs :6
ring current :6
richard witkin :6
richard p :6
ricerche aerospaziali :6
revenue passengermiles :6
reuters houston :6
reuters c :6
reuters balt :6
reusable solidfuel :6
returning data :6
return trip :6
retromotor propellants :6
retaining sufficient :6
respiration rate :6
resources surveys :6
resources studies :6
resources satellites :6
resources nasa :6
resources information :6
resolution infrared :6
resolute bay :6
researchers hoped :6
research technology :6
research magazine :6
research lecture :6
research including :6
research included :6
research flights :6
research flight :6
research director :6
research bomber :6
research bmwf :6
research association :6
research agency :6
research activities :6
rescue operations :6
rescue helicopter :6
rescue attempt :6
require separate :6
requested proposals :6
requested fcc :6
requested bids :6
reported ussr :6
reported net :6
reported discovery :6
report findings :6
rep richard :6
rep melvin :6
rep fulton :6
rep edward :6
remotesensing techniques :6
remotesensing data :6
remarks stmi :6
remained inside :6
release oct :6
release nyt :6
release november :6
release nov :6
release dec :6
release 8517 :6
release 705 :6
relay tv :6
relay television :6
relay satellites :6
relatively little :6
related services :6
reinhold nyt :6
regular press :6
regular commercial :6
reflector left :6
reflecting telescope :6
reestablish contact :6
reentry tests :6
reentry procedures :6
reentry experiment :6
reentered 25 :6
redesignate cape :6
red cells :6
recovery including :6
record reported :6
recent meeting :6
received honorary :6
rear adm :6
reagan administrations :6
readiness review :6
reaching altitude :6
reached speeds :6
reached 19 :6
rd plant :6
rd performance :6
rd contract :6
rca americom :6
ranging retroreflector :6
range recoverer :6
range near :6
range nasa :6
range division :6
ramjet engines :6
radioactive fallout :6
radio tracking :6
radio spectrum :6
radio relay :6
radio receiver :6
radio equipment :6
radio antenna :6
radiation particles :6
radiation levels :6
radiation inc :6
radiant heating :6
radar waves :6
radar transponder :6
radar terminal :6
radar observation :6
radar antenna :6
r usaf :6
r l :6
quoted soviet :6
quiet jet :6
quiet clean :6
questol aircraft :6
question dr :6
queen elizabeth :6
quantum jump :6
putting together :6
putnam assistant :6
published reports :6
proving grounds :6
provided valuable :6
provided continuous :6
provide worldwide :6
provide tv :6
provide temperature :6
provide technology :6
provide scientists :6
provide scientific :6
provide continuing :6
provide 30 :6
prototype aircraft :6
protective tiles :6
propulsion test :6
propulsion module :6
proposed treaty :6
proposed electronics :6
proposed budget :6
proposals included :6
proper attitude :6
propellants etc :6
proof flight :6
project managed :6
project firefly :6
project definition :6
progress report :6
programs ossa :6
programs conducted :6
professional engineers :6
prof robert :6
production line :6
process developed :6
probe zond :6
probe mars :6
probable soviet :6
private research :6
private organizations :6
private investment :6
private corporation :6
private citizens :6
printed circuit :6
prince albert :6
primary experiment :6
previously unknown :6
previously estimated :6
previous soviet :6
previous nasa :6
prevent further :6
pressure suits :6
press release :6
press quoted :6
presidents budget :6
president t :6
president replied :6
president george :6
prescribed times :6
premature shutdown :6
preliminary science :6
preliminary report :6
preliminary estimates :6
prelaunch feb :6
prelaunch checkout :6
precise position :6
precise measurement :6
pravda reported :6
praised apollo :6
practical returns :6
powerful engines :6
pounds thrust :6
pounds including :6
potentially dangerous :6
potential hazards :6
postponed indefinitely :6
postlaunch nov :6
postlaunch jan :6
postlaunch feb :6
postlaunch evaluation :6
postlaunch dec :6
post 25 :6
post 23 :6
post 21363 :6
portable ground :6
pollution reduction :6
political leadership :6
policy study :6
policy act :6
po dept :6
plesetsk entered :6
platon d :6
plasma probes :6
plasma flows :6
planning nasa :6
planned parameters :6
planned launch :6
planetary studies :6
planetary physics :6
planetary explorer :6
planetary bodies :6
planet saturn :6
pioneer died :6
pioneer 10s :6
pio july :6
pilot plant :6
pilot performed :6
pilot lt :6
pilot control :6
pilot astronaut :6
pilot altitude :6
pictures transmitted :6
physiological responses :6
physics auroral :6
physical scientists :6
physical science :6
physical research :6
physical laws :6
physical fitness :6
photographs showed :6
photo taken :6
photo showed :6
peter m :6
persons aboard :6
period ending :6
perigee 1149min :6
perigee 1146min :6
performed excellently :6
performance tests :6
performance nasa :6
perform selenological :6
pending completion :6
pegasus satellites :6
pegasus ii :6
pearl harbor :6
payload performed :6
payload instrumentation :6
payload ejected :6
payload capacity :6
payload aboard :6
payload 28 :6
payload 185 :6
paul maccready :6
paul h :6
paul d :6
patent rights :6
past six :6
passive geodetic :6
passed overhead :6
passed near :6
particles satellite :6
particles experiment :6
partial failure :6
parade magazine :6
palomar calif :6
paddles attached :6
pad abort :6
package containing :6
pacific science :6
pacific coast :6
p mcconnell :6
p hartman :6
