senate committee on aeronautical and space sciences :118
issued by the space operations control center :4
into polar orbit from pacific missile range :4
instruments functioned satisfactorily and payload was recovered :4
information from some of the experimenters concerned :4
includes launchings of all rocket vehicles larger :4
in two flights each and two had :4
in the upper atmosphere monitor anomalous ultraviolet :4
in the exploration and use of outer :4
in sequence but their history has been :4
in lunar orbit and 6 lunar landings :4
in doubt with the project offices in :4
in as consultant to nasa administrator james :4
implied in the title of this tabulation :4
ichtiaque rasool deputy director of planetary programs :4
i grissom edward h white 11 and :4
human beings into space whether orbit was :4
house committee on science and astronautics that :4
house committee on sci ence and astronautics :4
history of rocket technology detroit wayne state :4
highly successful completing inflight tests of all :4
heating and cooling demonstration act of 1974 :4
hearings on the fy 1974 nasa authorization :4
have been used for vehicle performance and :4
have been kept in sequence but their :4
has been made to classify performance of :4
had participated in two flights each and :4
had both been highly successful completing inflight :4
had been appointed deputy associate administrator for :4
h white 11 and roger b chaffee :4
h guyford stever national science foundation director :4
h dana flew x15 no 3 to :4
gsfc was responsible for procurement launch and :4
grissom edward h white 11 and roger :4
green and milton lomask vanguarda history nasa :4
georgy t dobrovolsky vladislav n volkov and :4
gen vladimir a shatalov chief of cosmonaut :4
gen thomas d white space trophy for :4
gary v latham principal investigator for apollo :4
furthermore only flights that have succeededor at :4
functioned satisfactorily and good data were obtained :4
from wtr using titan 111b booster satellite :4
from wsmr carried gsfc instrumented payload to :4
from wsmr carried dudley observatory payload to :4
from wallops station carried gsfc payload to :4
from tass news agency statements in the :4
from poker flat rocket range fairbanks alaska :4
from plesetsk into orbit with a 40 :4
from or of value to nasa activities :4
from fox main dew line station alaska :4
from churchill research range carrying univ of :4
from churchill re search range carried univ :4
from baykonur cos modrome into orbit with :4
from b52 aircraft at 45000ft altitude west :4
from b52 aircraft at 13 700m 45 :4
from a b52 aircraft from flight research :4
frank w anderson jr and the technical :4
frank e moss dutah chairman of the :4
foster jr director of defense research and :4
for the univ of illinois and the :4
for some of the references cited are :4
for some of the refer ences cited :4
for saturn ib and saturn v launch :4
for sale by supt of documents 175 :4
for payloads where vehicle malfunctions did not :4
for gca corp under contract to gsfc :4
flown by nasa test pilot william h :4
flights each and two had flown three :4
flight research center after airlaunch from b52 :4
federal agencies the content of this volume :4
ezell edward clinton and linda neuman ezell :4
exploration and use of outer space for :4
experiments had been turned on and were :4
experimental short takeoff and landing questol aircraft :4
evert clark reported in the new york :4
eugene m emme ed history of rocket :4
essa and other agencies as well as :4
erts 1 launched july 23 1972 and :4
emme ed history of rocket technology detroit :4
electric co and pratt whitney div of :4
eight cosmos satellites on a single booster :4
ed history of rocket technology detroit wayne :4
each and two had flown three times :4
e moss dutah chairman of the senate :4
dutah chairman of the senate committee on :4
dr wernher von braun msfc director said :4
dr t keith glennan first nasa administrator :4
dr s ichtiaque rasool deputy director of :4
dr paul w gast chief of msc :4
dr h guyford stever national science foundation :4
dr charles a berry nasa director for :4
doubt with the project offices in nasa :4
dod and would reimburse nasa for launch :4
dobrovolsky vladislav n volkov and viktor i :4
do not take into account that u :4
divisions are necessarily arbitrary many of the :4
director of the office of science and :4
director of the national air and space :4
director of medical research and opera tions :4
director of flight crew operations donald k :4
direction of the nasa office of space :4
did not operate because of vehicle failure :4
dickson library of congress history of aeronautics :4
designed to continue and extend work of :4
design development test and evaluation of the :4
derived from or of value to nasa :4
deputy secretary of defense william p clements :4
deputy director of nasa manned spacecraft center :4
deputy director of life sciences for medical :4
deputy chief of staff for research and :4
deputy associate administrator for advanced research and :4
department of defense national oceanic and atmospheric :4
department of defense nasa and other agencies :4
density and wind data in upper atmosphere :4
density and wind between 2259 mi 3595 :4
defense nasa essa and other agencies as :4
defense nasa and other agencies and the :4
dates have been kept in sequence but :4
date marks dates that are one day :4
date marks dates of soviet launches which :4
data on wind temperature pressure and density :4
criticisms are always welcomed by the nasa :4
cosmos satellites on a single booster from :4
cosmonauts georgy t beregovoy and konstantin p :4
conveyed one or more human beings into :4
contract or grant and considered an important :4
content of this volume would be less :4
congress under an exchange of funds agreement :4
concorde 001 french prototype of anglofrench supersonic :4
completing inflight tests of all major pieces :4
communications were the responsibility of jploperated deep :4
committee on aeronautical and space sciences to :4
committee on aeronautical and space sciences had :4
committee on aeronautical and space sciences during :4
com mittee on science and astronauticsâ€™ subcommittee :4
com mittee on aeronautical and space sciences :4
co and pratt whitney div of united :4
clinton p anderson chairman of senate committee :4
classify performance of both the launch vehicle :4
clark reported in the new york times :4
churchill re search range carried univ of :4
chronology of science technology and policy annual :4
chronology of science and technology in the :4
chronology for some of the references cited :4
chronology for some of the refer ences :4
charles conrad jr dr joseph p kerwin :4
charles a berry nasa director for life :4
channels and 30009000 telephone circuits and was :4
chairman of senate committee on aero nautical :4
cents per share for first quarter of :4
center under the direction of the nasa :4
center had issued a request for proposals :4
categories have been used for vehicle performance :4
carrying a goddard space flight center payload :4
carried american science and engineering inc payload :4
c adams nasa associate administrator for advanced :4
by the national oceanic and atmospheric administration :4
by the date marks dates that are :4
by test pilot thomas c mcmurtry successfully :4
by nasa from wallops station carried gsfc :4
by nasa deputy administrator dr hugh l :4
by nasa associate administrator for manned space :4
by dr george m low nasa deputy :4
by dr eugene m emme nasa historian :4
by dr charles s sheldon 11 chief :4
but their history has been relegated to :4
brought the total value of the contract :4
breadboard version of nerva nuclear engine for :4
both been highly successful completing inflight tests :4
booster from vandenberg afb into orbit with :4
bisplinghoff nasa associate administrator for advanced research :4
bill was referred to senate committee on :4
bill that included a 3002billion nasa appropriation :4
between 2259 mi 3595 km at transition :4
beings into space whether orbit was attained :4
been provided for payloads where vehicle malfunctions :4
been made to classify performance of both :4
been kept in sequence but their history :4
been highly successful completing inflight tests of :4
bean dr owen k garriott and jack :4
b52 aircraft at 45000ft altitude west of :4
b shepard jr and edgar d mitchell :4
auroral zone and extending into polar cap :4
attempt has been made to classify performance :4
atmosphere by detonating grenades and recording their :4
at univ of california at san diego :4
at the air force flight test center :4
at nuclear rocket development station jackass flats :4
astronauts neil a armstrong and david r :4
astronauts john w young charles m duke :4
astronauts james a lovell jr and edwin :4
astronauts alan b shepard jr and edgar :4
astronauticsâ€™ subcommittee on science research and development :4
astronautics and aeronautics a chronology of science :4
astronautics and aeronautics 19 6 4 the :4
asterisk by the date marks dates that :4
associate administrator for manned space flight told :4
associate administrator for manned space flight discussed :4
associate administrator for advanced re search and :4
assistant administrator for public affairs john p :4
assistant administrator for dod and interagency affairs :4
as those of the communications satellite corporation :4
as secondary mission pilot performed maneuvers to :4
as planned and sound arrivals were recorded :4
as consultant to nasa administrator james e :4
arrived at nasa marshall space flight center :4
are necessarily arbitrary many of the results :4
are listed only those that are abbreviated :4
appendix b â€œchronology of major nasa launches :4
apollo 5 launched jan 22 1968 had :4
apollo 4 launched nov 9 1967 and :4
apollo 17 astronauts eugene a cernan ronald :4
apollo 13 astronauts james a lovell jr :4
announced successful completion of rocket tests in :4
announced by secretary of defense melvin r :4
announced by faa administrator john h shaffer :4
andrian g nikolayev and vitaly i sevastyanov :4
anderson jr and the technical editor was :4
and would reimburse nasa for launch services :4
and work in space for extended periods :4
and wind between 2259 mi 3595 km :4
and the technical editor was mrs carrie :4
and the soviet academy of sciences had :4
and technology in the exploration of space :4
and spacecraft systems performed according to plan :4
and returned to earth with lunar samples :4
and planetary laboratory of the univ of :4
and personnel necessary to mate spacecraft to :4
and other reentry events occurred as planned :4
and other federal agencies the content of :4
and leonard c bruno with robert l :4
and instrumentation performed satisfactorily gsfc proj off :4
and extend the data base for a :4
and criticisms are always welcomed by the :4
and communications were the responsibility of jploperated :4
and astronauticsâ€™ subcommittee on science research and :4
and astronautical events of 1 9 6 :4
and apollo 5 launched jan 22 1968 :4
and aeronautics a chronology of science technology :4
and aeronautical e v e n t :4
and aec at nuclear rocket development station :4
an unidentified satellite from vandenberg afb with :4
an asterisk by the date marks dates :4
an aerobee 200 sounding rocket from white :4
an advanced version of the cartwheel configuration :4
american institute of aeronautics and astronautics and :4
american institute of aeronautics and astronautics aiaa :4
american aviations space and information systems div :4
amend the national aeronautics and space act :4
altitude over south rogers lake bed calif :4
also washington smithsonian institution press 1971 1250 :4
also responsible for the thordelta launch vehicle :4
all the sources are listed only those :4
all launch vehicle and spacecraft systems performed :4
alan l bean dr owen k garriott :4
alan b shepard jr and edgar d :4
airlaunch from b52 aircraft at 45000ft altitude :4
agencies the content of this volume would :4
agena 2nd stage fired to boost 850lb :4
afb by titan iiibagena booster into orbit :4
aerospace research pilot school at edwards afb :4
aeronautics a chronology of science technology and :4
aeronautical e v e n t s :4
aeronautical and space sciences favorably reported hr :4
aeronautical and astronautical events of 1 9 :4
aerobee 350 sounding rocket was launched by :4
aerobee 150a sounding rocket launched from nasa :4
aerobee 150 sounding rocket was launched from :4
aerobee 150 sounding rocket from churchill research :4
aec at nuclear rocket development station jackass :4
administrator for public affairs john p donnelly :4
administrator for aeronautics and space technology and :4
administrator for advanced re search and technology :4
additions and criticisms are always welcomed by :4
abe silverstein director of nasa lewis research :4
a mcdivitt david r scott and russell :4
a man on the moon in this :4
a lovell jr fred w haise jr :4
a history of the apollosoyuz test project :4
a history of the ames research center :4
a great deal was learned from shots :4
a first step in the historical process :4
a few unique items require separate treatment :4
a chronology of science technology and policy :4
a berry nasa director for life sciences :4
9 1967 and apollo 5 launched jan :4
6 applications technology satellite launched 30 may :4
5 launched jan 22 1968 had both :4
4 launched nov 9 1967 and apollo :4
3595 km at transition from wintertime westerly :4
350 sounding rocket was launched by nasa :4
2nd stage fired to boost 850lb spacecraft :4
2259 mi 3595 km at transition from :4
22 1968 had both been highly successful :4
20 in earth orbit 3 in lunar :4
2 suborbital 20 in earth orbit 3 :4
1968 had both been highly successful completing :4
1967 and apollo 5 launched jan 22 :4
1966 for sale by supt of documents :4
1965 for sale by supt of documents :4
1963 for sale by supt of documents :4
19 800m 65 000ft altitude and mach :4
16 astronauts john w young charles m :4
150a sounding rocket launched from nasa wallops :4
150 sounding rocket from white sands n :4
150 sounding rocket from churchill research range :4
12 tv channels and 30009000 telephone circuits :4
11 astronauts neil a armstrong and edwin :4
